Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,3.6,3.8,3.56,3.68,18902000.0,3.6912,3.132,2.916,2.6745,2.6357,2.5603,2.6026,2.6563,2.6018,2.7131,2.7661,2.65,98.9435,88.322,81.6341,66.9458,,,,,,
2000-01-04,3.78,3.86,3.54,3.56,14517000.0,3.6689,3.304,2.993,2.7255,2.6727,2.5868,2.615,2.6717,2.6147,2.7019,2.7761,2.6604,78.3992,79.7648,75.7052,64.1584,-0.033152207316900606,,,,,
2000-01-05,3.4,3.64,3.28,3.62,14108000.0,3.5006,3.438,3.087,2.779,2.7093,2.6183,2.6286,2.6855,2.6264,2.6976,2.7856,2.6715,81.3098,80.8106,76.6195,64.914,0.01671348097374059,,,,,
2000-01-06,3.68,3.76,3.56,3.62,13225000.0,3.6757,3.568,3.181,2.842,2.7393,2.6538,2.6424,2.6932,2.6367,2.6953,2.7952,2.6823,81.3098,80.8106,76.6195,64.914,0.0,0.02538042606991241,,,,
2000-01-07,3.68,3.76,3.56,3.62,13225000.0,3.6757,3.568,3.181,2.842,2.7393,2.6538,2.6424,2.6932,2.6367,2.6953,2.7952,2.6823,81.3098,80.8106,76.6195,64.914,0.0,0.009649532739284818,,,,
2000-01-10,3.68,3.76,3.56,3.62,13225000.0,3.6757,3.568,3.181,2.842,2.7393,2.6538,2.6424,2.6932,2.6367,2.6953,2.7952,2.6823,81.3098,80.8106,76.6195,64.914,0.0,0.0,0.018195898930015015,,,
2000-01-11,3.7,3.76,3.62,3.64,10339000.0,3.6913,3.624,3.279,2.9045,2.7703,2.6848,2.658,2.7022,2.6471,2.6948,2.8043,2.6932,83.0252,81.2201,76.9548,65.1759,0.005509655810969738,0.0031810012656055603,0.007261597477562223,,,
2000-01-12,3.58,3.74,3.52,3.7,12035000.0,3.6699,3.628,3.38,2.971,2.8057,2.718,2.6762,2.7132,2.6588,2.6944,2.8141,2.7047,87.9869,82.4817,77.9753,65.9643,0.016349138001529484,0.008318102695405465,0.0071079048804998995,,,
2000-01-13,3.74,4.04,3.68,3.88,30152000.0,3.8878,3.692,3.498,3.038,2.8463,2.7575,2.6972,2.7258,2.6718,2.6946,2.8236,2.7169,94.8115,85.7195,80.7318,68.1988,0.04750233398500314,0.021799850971861108,0.01994949338143015,,,
2000-01-14,3.92,3.98,3.8,3.94,13997000.0,3.918,3.756,3.597,3.117,2.8943,2.7975,2.7214,2.7442,2.6857,2.6966,2.832,2.7291,95.9593,86.6451,81.5602,68.9028,0.015345569674660497,0.018282898476820443,0.018402200574136152,,,
2000-01-17,4.0,4.1,3.92,3.98,17166000.0,4.0369,3.828,3.698,3.198,2.944,2.8403,2.7492,2.764,2.7,2.7008,2.8413,2.7412,96.6912,87.2642,82.1124,69.3704,0.010101095986503772,0.02025016295818006,0.01653736272232801,0.020154622385520963,,
