Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,31.54,32.3,30.97,32.3,737.0,31.2686,31.35,30.704,29.0605,29.336,30.0627,30.8598,31.6983,37.2837,39.8414,40.5872,41.3639,80.5865,70.0816,63.7086,47.015,,,,,,
2000-01-04,33.44,34.2,32.68,34.01,737.0,33.3722,32.338,31.065,29.431,29.4057,30.1007,30.8864,31.6477,37.0614,39.7923,40.5333,41.2955,92.2754,77.6509,70.3109,51.1726,0.05158736879049286,,,,,
2000-01-05,33.25,33.25,32.3,32.3,158.0,32.6167,32.68,31.293,29.716,29.4183,30.096,30.837,31.578,36.8277,39.7005,40.4499,41.2005,48.4856,60.4464,58.7924,47.3306,-0.05158736879049286,,,,,
2000-01-06,33.25,33.82,32.3,32.3,632.0,32.8383,32.642,31.483,30.02,29.4183,30.0912,30.7648,31.5463,36.5845,39.5596,40.3718,41.1055,48.4856,60.4464,58.7924,47.3306,0.0,0.05158736879049286,,,,
2000-01-07,33.25,33.82,32.3,32.3,632.0,32.8383,32.642,31.483,30.02,29.4183,30.0912,30.7648,31.5463,36.5845,39.5596,40.3718,41.1055,48.4856,60.4464,58.7924,47.3306,0.0,0.029783981257975548,,,,
2000-01-10,33.25,33.82,32.3,32.3,632.0,32.8383,32.642,31.483,30.02,29.4183,30.0912,30.7648,31.5463,36.5845,39.5596,40.3718,41.1055,48.4856,60.4464,58.7924,47.3306,0.0,0.0,0.036477778295328764,,,
2000-01-11,34.2,35.15,34.2,34.2,1789.0,34.4515,33.022,31.901,30.419,29.5133,30.134,30.78,31.5463,36.3565,39.425,40.3085,41.0191,76.4386,69.8426,65.9752,51.6472,0.057158413839948796,0.033000425616946466,0.03847769997945743,,,
2000-01-12,34.2,34.96,33.82,34.58,1000.0,34.5,33.478,32.414,30.8275,29.621,30.191,30.7876,31.5527,36.1399,39.3047,40.2473,40.9364,79.7371,71.3727,67.2064,52.4535,0.011049836186584727,0.030318267556226203,0.024792690848881173,,,
2000-01-13,34.2,34.2,33.63,34.2,368.0,34.0643,33.516,32.927,31.1505,29.7603,30.248,30.7876,31.5463,35.9309,39.1764,40.1576,40.8652,65.8987,67.5188,64.6857,51.564,-0.011049836186584727,0.03480124955587046,0.02672950232262001,,,
2000-01-14,34.2,34.2,33.25,34.01,1105.0,33.9738,33.858,33.269,31.464,29.925,30.2907,30.7648,31.5178,35.72,39.045,40.0763,40.7892,58.309,65.5284,63.4052,51.1157,-0.005571045049455936,0.011508448812273194,0.027432039895883466,,,
2000-01-17,34.2,35.15,34.2,34.58,3737.0,34.5265,34.314,33.478,31.825,30.1783,30.3477,30.7838,31.4513,35.5338,38.912,39.9939,40.7246,72.5405,68.6476,65.605,52.4001,0.016620881236040663,0.01465245910685288,0.026870519132819046,0.03104807914704337,,
