Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.954,3.162,2.954,3.147,6032367.0,3.1036,2.9122,2.8143,2.6814,2.6223,2.5456,2.5406,2.5308,2.4169,2.5462,2.7911,2.7136,98.0683,85.0145,76.7587,65.9207,,,,,,
2000-01-04,3.147,3.176,3.058,3.087,3974868.0,3.1124,2.9805,2.8484,2.7111,2.6461,2.5634,2.5522,2.5412,2.4247,2.5401,2.7949,2.7207,76.3683,77.0323,71.8742,63.9318,-0.019249872562247416,,,,,
2000-01-05,2.969,3.058,2.894,2.983,8019801.0,2.9757,3.0132,2.8737,2.7341,2.6649,2.579,2.5608,2.5488,2.4298,2.5334,2.7975,2.7274,48.3085,65.0143,64.1776,60.6207,-0.03427023998741063,,,,,
2000-01-06,3.043,3.102,2.969,3.043,4092093.0,3.0329,3.0369,2.9063,2.766,2.6787,2.5994,2.5703,2.5565,2.4327,2.5278,2.8001,2.7335,60.689,68.2033,66.3923,61.7905,0.019914365382222465,0.027974453913111604,,,,
2000-01-07,3.043,3.102,2.969,3.043,4092093.0,3.0329,3.0369,2.9063,2.766,2.6787,2.5994,2.5703,2.5565,2.4327,2.5278,2.8001,2.7335,60.689,68.2033,66.3923,61.7905,0.0,0.027407428300962045,,,,
2000-01-10,3.043,3.102,2.969,3.043,4092093.0,3.0329,3.0369,2.9063,2.766,2.6787,2.5994,2.5703,2.5565,2.4327,2.5278,2.8001,2.7335,60.689,68.2033,66.3923,61.7905,0.0,0.0114975642141667,0.020710623134624802,,,
2000-01-11,3.147,3.295,3.147,3.266,7615577.0,3.2542,3.1052,2.9657,2.8054,2.7039,2.6202,2.5851,2.5694,2.4402,2.5248,2.8033,2.741,83.2522,77.0346,73.1068,65.7387,0.07072212363343922,0.04083143711742812,0.038526676675687585,,,
2000-01-12,3.266,3.637,3.206,3.592,9508692.0,3.4929,3.1943,3.0533,2.8588,2.7396,2.6536,2.6071,2.5877,2.4529,2.5251,2.807,2.7504,92.5984,84.2516,79.5578,70.3822,0.09514315589167999,0.04941360423474831,0.043438478162940546,,,
2000-01-13,3.607,3.748,3.488,3.518,12150968.0,3.6522,3.2804,3.1304,2.9011,2.7698,2.6851,2.6258,2.6045,2.4635,2.5229,2.8103,2.7592,77.7977,77.9855,75.1459,68.2087,-0.02081650412458691,0.06113148389532831,0.0506935308475897,,,
2000-01-14,3.562,3.681,3.533,3.666,13647944.0,3.6235,3.4169,3.2151,2.9538,2.8069,2.7189,2.6483,2.6243,2.4764,2.5227,2.8143,2.7683,84.9935,81.1413,77.7978,70.1179,0.041208503102146965,0.058026848734145,0.048080535815170716,,,
2000-01-17,3.696,4.267,3.696,3.933,31788162.0,3.9444,3.595,3.316,3.0213,2.8549,2.7597,2.6768,2.6505,2.4917,2.5264,2.8201,2.7785,91.9969,85.3841,81.6028,73.1234,0.07030134403215915,0.046540228418668804,0.04461815793338471,0.04484340141777762,,
2000-01-18,3.933,3.971,3.785,3.896,7983421.0,3.8654,3.7212,3.4132,3.0863,2.9011,2.7996,2.7058,2.6741,2.5054,2.5311,2.826,2.7887,83.8449,82.4846,79.5633,72.0817,-0.009452107669383869,0.04035984790075793,0.049982542709882755,0.04393261634654851,,
