Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.117,2.2,2.117,2.167,31200.0,2.1494,2.11,2.1067,2.07,2.0561,2.055,2.06,2.0531,2.0948,2.1768,2.0568,2.0118,81.5033,65.3542,54.3315,59.8234,,,,,,
2000-01-04,2.25,2.25,2.2,2.2,24000.0,2.2258,2.1367,2.1217,2.0767,2.0617,2.0575,2.0627,2.0564,2.092,2.176,2.0612,2.014,87.6852,69.0529,56.1279,62.5075,0.015113637810048375,,,,,
2000-01-05,2.217,2.217,2.167,2.167,4800.0,2.1917,2.1533,2.1233,2.0817,2.0661,2.0596,2.0647,2.0583,2.0895,2.1724,2.0654,2.0161,58.4054,61.6487,53.9333,58.3121,-0.015113637810048375,,,,,
2000-01-06,2.183,2.183,2.183,2.183,4800.0,2.1833,2.1667,2.1317,2.0908,2.07,2.0629,2.067,2.0608,2.0867,2.1665,2.0695,2.0184,66.736,63.8302,54.8465,59.7662,0.007356355013584892,0.0156990668793389,,,,
2000-01-07,2.183,2.183,2.183,2.183,4800.0,2.1833,2.1667,2.1317,2.0908,2.07,2.0629,2.067,2.0608,2.0867,2.1665,2.0695,2.0184,66.736,63.8302,54.8465,59.7662,0.0,0.011455992496166582,,,,
2000-01-10,2.183,2.183,2.183,2.183,4800.0,2.1833,2.1667,2.1317,2.0908,2.07,2.0629,2.067,2.0608,2.0867,2.1665,2.0695,2.0184,66.736,63.8302,54.8465,59.7662,0.0,0.004247193547347696,0.011181869957383739,,,
2000-01-11,2.183,2.2,2.183,2.2,31200.0,2.1865,2.1833,2.1433,2.1017,2.0756,2.0671,2.0697,2.0639,2.0845,2.1619,2.0738,2.021,74.4206,66.0057,55.7538,61.2228,0.007757282796463483,0.004478669310718249,0.00925626062894093,,,
2000-01-12,2.183,2.2,2.183,2.2,20400.0,2.1951,2.19,2.15,2.1117,2.0822,2.0713,2.072,2.0669,2.0825,2.1578,2.0778,2.0239,74.4206,66.0057,55.7538,61.2228,0.0,0.004478669310718249,0.004141466705755919,,,
2000-01-13,2.25,2.25,2.217,2.217,25200.0,2.2365,2.1933,2.165,2.1208,2.0878,2.0758,2.0743,2.0703,2.0805,2.1535,2.0819,2.0269,83.1692,68.4103,56.6852,62.7854,0.0076975702699041415,0.004461531688225633,0.004232538475425176,,,
2000-01-14,2.167,2.183,2.167,2.183,15600.0,2.1808,2.1967,2.175,2.1292,2.0944,2.0788,2.076,2.0731,2.0788,2.1493,2.085,2.0298,41.05,59.0173,54.3194,57.7713,-0.015454853066367624,0.011790814063675915,0.009464149562261699,,,
2000-01-17,2.167,2.183,2.167,2.183,15600.0,2.1808,2.1967,2.175,2.1292,2.0944,2.0788,2.076,2.0731,2.0788,2.1493,2.085,2.0298,41.05,59.0173,54.3194,57.7713,0.0,0.011790814063675915,0.009464149562261699,0.009796989144241017,,
2000-01-18,2.3,2.4,2.283,2.333,46800.0,2.3402,2.2267,2.1967,2.145,2.1072,2.0863,2.081,2.0786,2.0805,2.1461,2.0894,2.0334,86.658,75.8229,61.7509,69.5542,0.06645491547148619,0.0435207200759021,0.03172254106055787,0.02288263071716633,,
2000-01-19,2.367,2.367,2.367,2.367,12000.0,2.3667,2.26,2.2217,2.1592,2.1172,2.0942,2.0867,2.0844,2.0822,2.1442,2.0937,2.0371,89.3934,78.071,63.1298,71.46,0.01446833749255394,0.034948039692473974,0.031036437510494813,0.021752793252274596,,
2000-01-20,2.383,2.417,2.383,2.383,39600.0,2.4,2.2967,2.2433,2.175,2.1278,2.1029,2.0927,2.0906,2.0837,2.1428,2.0986,2.041,90.8069,79.1609,63.8047,72.3906,0.0067368675847581105,0.03247723602847668,0.031093031043292172,0.02175833122497074,,
2000-01-21,2.383,2.383,2.333,2.333,26400.0,2.3583,2.32,2.2567,2.1892,2.1367,2.1104,2.0973,2.095,2.0853,2.1406,2.1032,2.0445,56.7642,67.7892,60.3748,65.4915,-0.02120520507731205,0.018766711179957277,0.03254759410955657,0.023657955241927577,,
2000-01-24,2.3,2.3,2.3,2.3,9600.0,2.3,2.3433,2.27,2.1967,2.1444,2.1171,2.1017,2.0989,2.087,2.1382,2.1073,2.0478,41.2863,61.196,58.2165,61.2973,-0.014245870104189096,0.014545715571052217,0.0345630677846266,0.02451593941432719,,
2000-01-25,2.3,2.3,2.283,2.283,20400.0,2.2912,2.3333,2.28,2.2058,2.1539,2.1225,2.1063,2.1025,2.0898,2.1361,2.111,2.0513,34.2767,58.0217,57.1597,59.254,-0.007418755387445408,0.006893330516701558,0.014735080963549965,0.024809447445880272,,
2000-01-26,2.283,2.317,2.267,2.267,8400.0,2.2857,2.3133,2.2867,2.215,2.1633,2.1283,2.111,2.1058,2.0918,2.1339,2.115,2.0546,27.3192,54.8225,56.106,57.2006,-0.007032996022266591,0.004057582575973651,0.01036619365304149,0.0250248442581812,,
2000-01-27,2.25,2.267,2.25,2.267,15600.0,2.2526,2.29,2.2933,2.2217,2.1722,2.135,2.1157,2.1089,2.0942,2.1317,2.1188,2.0581,27.3192,54.8225,56.106,57.2006,0.0,0.004176317653064519,0.008047485346145704,0.02498264522790888,,
2000-01-28,2.233,2.25,2.233,2.25,7200.0,2.2361,2.2733,2.2967,2.2308,2.1794,2.14,2.12,2.1114,2.0967,2.1294,2.1223,2.0617,18.7541,51.2464,55.0205,54.9905,-0.007527155309063116,0.004210409590065652,0.005041253699364885,0.02447981573481737,,
2000-01-31,2.217,2.233,2.217,2.233,13200.0,2.2242,2.26,2.3017,2.2383,2.1867,2.1463,2.1233,2.1136,2.0992,2.1274,2.1251,2.0652,12.7555,47.7428,53.941,52.7937,-0.007584243358307874,0.004362378430209825,0.00331224283593216,0.02470037252066116,0.01830515183832685,
2000-02-01,2.217,2.233,2.217,2.233,13200.0,2.2242,2.26,2.3017,2.2383,2.1867,2.1463,2.1233,2.1136,2.0992,2.1274,2.1251,2.0652,12.7555,47.7428,53.941,52.7937,0.0,0.004362378430209825,0.004048672751035887,0.010187576672037298,0.01802336824772894,
2000-02-02,2.25,2.283,2.25,2.283,3600.0,2.2722,2.26,2.2967,2.2467,2.1956,2.1546,2.1283,2.1169,2.1025,2.1257,2.1283,2.069,64.2346,57.5401,56.5846,58.1899,0.02214439468963758,0.015447151213488282,0.012192830105490271,0.011909313889801598,0.018222407165333323,
2000-02-03,2.283,2.283,2.2,2.2,19200.0,2.2688,2.2467,2.28,2.2508,2.1994,2.1579,2.1313,2.1189,2.1045,2.1238,2.131,2.0726,25.9519,42.574,51.4893,48.2835,-0.0370330071833882,0.02989922721871176,0.021189599557605146,0.015255806928790496,0.020208581885228834,
2000-02-04,2.283,2.283,2.2,2.2,19200.0,2.2688,2.2467,2.28,2.2508,2.1994,2.1579,2.1313,2.1189,2.1045,2.1238,2.131,2.0726,25.9519,42.574,51.4893,48.2835,0.0,0.02989922721871176,0.021320956442570115,0.014677652033650538,0.020208581885228834,
2000-02-07,2.283,2.283,2.2,2.2,19200.0,2.2688,2.2467,2.28,2.2508,2.1994,2.1579,2.1313,2.1189,2.1045,2.1238,2.131,2.0726,25.9519,42.574,51.4893,48.2835,0.0,0.02138101666623052,0.021315978049444025,0.014464138398746038,0.020208581885228834,
2000-02-08,2.317,2.317,2.317,2.317,7200.0,2.3167,2.2567,2.2733,2.2583,2.2078,2.1642,2.137,2.1228,2.1082,2.1221,2.1346,2.0769,67.1126,59.2624,57.0859,58.8465,0.051815885085968905,0.029915915202682854,0.03268783830508553,0.022824188640717245,0.02322977200393711,
2000-02-09,2.317,2.367,2.317,2.367,30000.0,2.334,2.28,2.2767,2.2667,2.2183,2.1717,2.1437,2.1272,2.1112,2.1211,2.1381,2.0818,75.7707,64.2688,59.1741,62.3917,0.02135008508160774,0.026041239890284132,0.03259999040826454,0.023405551882025418,0.023592183485402398,
2000-02-10,2.3,2.383,2.3,2.383,28800.0,2.341,2.31,2.285,2.2775,2.2261,2.1796,2.1507,2.1322,2.1135,2.1208,2.1419,2.0866,78.5891,65.8429,59.8478,63.5199,0.0067368675847581105,0.02299938011624962,0.021847223902097965,0.023364419545990684,0.023584503201847448,
2000-02-11,2.4,2.467,2.383,2.467,54000.0,2.413,2.3467,2.3033,2.2917,2.2383,2.1913,2.1587,2.1392,2.1167,2.1208,2.1456,2.0918,88.565,72.6264,63.0055,68.5928,0.03464263943061463,0.013958093405168976,0.02098854844429724,0.024625668082234774,0.02410764106360322,
2000-02-14,2.45,2.5,2.45,2.483,45600.0,2.4702,2.4033,2.325,2.3058,2.2517,2.2038,2.1677,2.1467,2.1203,2.1214,2.1496,2.097,89.9674,73.7972,63.5978,69.5062,0.006464668978809929,0.016190553898167783,0.019360467336791493,0.023952828001034432,0.024064634957687302,
2000-02-15,2.5,2.85,2.483,2.7,435600.0,2.6775,2.48,2.3683,2.3308,2.2706,2.2213,2.1817,2.1578,2.1258,2.1239,2.1551,2.1031,97.0418,83.8807,70.0471,78.329,0.08378426648425386,0.03913058839038327,0.03194696097044379,0.03283494366810158,0.02652547242438682,
2000-02-16,2.7,2.75,2.483,2.583,165600.0,2.5839,2.5233,2.4017,2.3492,2.2878,2.235,2.1923,2.1669,2.1302,2.1253,2.1595,2.1086,61.8284,68.0234,63.7553,67.0752,-0.04430025889657996,0.06449941046582111,0.04675565130453995,0.038380400489090874,0.02884395045705886,
2000-02-17,2.583,2.633,2.583,2.617,30000.0,2.6073,2.57,2.44,2.3708,2.3056,2.25,2.205,2.1761,2.135,2.1275,2.1643,2.1136,66.9657,69.8552,64.6926,68.4691,0.01307710943430529,0.06415776141239346,0.046477082166726934,0.03426794838111905,0.028906148839562332,
2000-02-18,2.517,2.517,2.517,2.517,2400.0,2.5167,2.58,2.4633,2.38,2.3189,2.2625,2.2163,2.1842,2.1388,2.1304,2.1684,2.1184,41.7067,58.5379,59.8861,60.2309,-0.03896090739483005,0.031698123673562256,0.05155713194870572,0.03842349748822124,0.029995251006778245,
2000-02-21,2.583,2.583,2.467,2.467,36000.0,2.5017,2.5767,2.49,2.385,2.3306,2.2721,2.2243,2.1911,2.142,2.1326,2.1716,2.1228,32.5099,53.6488,57.6698,56.5662,-0.02006487860595907,0.026342002172576786,0.052596388443657785,0.039707001818560725,0.030206936942749354,
2000-02-22,2.5,2.55,2.4,2.4,57600.0,2.459,2.5167,2.4983,2.3858,2.3383,2.2804,2.231,2.1972,2.1447,2.134,2.1738,2.1273,22.5602,47.676,54.869,52.0212,-0.02753410019331981,0.009516836816325636,0.02257007622788631,0.03865983996670187,0.030916334518163068,
2000-02-23,2.45,2.5,2.4,2.5,50400.0,2.4242,2.5,2.5117,2.3942,2.3483,2.2917,2.2397,2.205,2.1488,2.1368,2.1769,2.1323,54.14,55.9515,58.0318,57.5331,0.040821994520255256,0.03749568036165424,0.03279778582627522,0.04012048233890961,0.031973567057205506,
2000-02-24,2.5,2.5,2.433,2.433,39600.0,2.4551,2.4633,2.5167,2.4008,2.3572,2.2988,2.247,2.2117,2.1515,2.1393,2.1802,2.1366,38.4572,50.0183,55.3563,53.1494,-0.027165668072769655,0.0393594835915939,0.031702134335332706,0.04141282755809358,0.03275966432093496,
2000-02-25,2.467,2.467,2.433,2.433,19200.0,2.4458,2.4467,2.5133,2.4083,2.3656,2.3071,2.2557,2.2178,2.1543,2.1429,2.1834,2.1407,38.4572,50.0183,55.3563,53.1494,0.0,0.034221657429456966,0.028873491543474426,0.0398036106887646,0.0326690203178855,
2000-02-28,2.4,2.433,2.333,2.367,19200.0,2.3938,2.4267,2.5017,2.4133,2.3711,2.3142,2.2633,2.2233,2.1565,2.1454,2.1863,2.1449,23.2826,44.0998,52.7536,48.834,-0.02750173326953853,0.01578201399529023,0.029901622215898288,0.04050219876794852,0.033334640316958625,
2000-02-29,2.317,2.333,2.3,2.317,20400.0,2.3157,2.41,2.4633,2.4158,2.375,2.3188,2.2697,2.2286,2.158,2.1478,2.189,2.1485,16.1247,40.0966,50.8969,45.8286,-0.02135008508160774,0.014433838951394771,0.029020836024330223,0.026009697542445444,0.03377185385009247,
2000-03-01,2.25,2.333,2.25,2.283,25200.0,2.2881,2.3667,2.4333,2.4175,2.3772,2.3242,2.2747,2.2325,2.1593,2.1501,2.1916,2.1518,12.3331,37.5408,49.6908,43.8893,-0.014782877902580704,0.006360559034732856,0.011398873128278237,0.023945626729757075,0.03361278310478358,
2000-03-02,2.267,2.267,2.25,2.25,26400.0,2.2561,2.33,2.3967,2.4183,2.3794,2.3283,2.2793,2.2369,2.1603,2.1524,2.1937,2.1544,9.1173,35.0288,48.5018,41.9765,-0.014560151331329707,0.0038574822875154314,0.010244707339945291,0.022217903622192593,0.032672109058414944,
2000-03-03,2.267,2.267,2.25,2.25,6000.0,2.2533,2.2933,2.37,2.4167,2.3767,2.3317,2.284,2.2419,2.1627,2.1549,2.1957,2.1572,9.1173,35.0288,48.5018,41.9765,0.0,0.008471334930215865,0.010244707339945291,0.020950618786579372,0.032672109058414944,
2000-03-06,2.25,2.25,2.25,2.25,32400.0,2.25,2.27,2.3483,2.4192,2.3728,2.335,2.2873,2.245,2.165,2.1569,2.1975,2.1598,9.1173,35.0288,48.5018,41.9765,0.0,0.008406307290584888,0.009648824424048814,0.02096955895188128,0.032672109058414944,
2000-03-07,2.167,2.2,2.167,2.2,10800.0,2.1759,2.2467,2.3283,2.4133,2.3667,2.3358,2.29,2.2472,2.1662,2.159,2.1988,2.1625,3.9298,30.6489,46.6482,38.8077,-0.022472855852058493,0.012974709375645627,0.009982278629811499,0.02053464007673771,0.030773380468929683,
2000-03-08,2.183,2.217,2.183,2.217,13200.0,2.1864,2.2333,2.3,2.4058,2.3628,2.3363,2.2933,2.2497,2.1683,2.1603,2.2001,2.1648,25.2073,33.7551,47.3422,40.4222,0.0076975702699041415,0.01567660917092892,0.012289897001376117,0.012917246171020759,0.030363051600499073,
2000-03-09,2.183,2.217,2.183,2.217,13200.0,2.1864,2.2333,2.3,2.4058,2.3628,2.3363,2.2933,2.2497,2.1683,2.1603,2.2001,2.1648,25.2073,33.7551,47.3422,40.4222,0.0,0.01567660917092892,0.011408549704067005,0.012214018465995794,0.0302834185124379,
2000-03-10,2.2,2.25,2.2,2.25,18000.0,2.24,2.2333,2.2817,2.3992,2.3611,2.3383,2.2953,2.2528,2.1703,2.1611,2.2016,2.1676,55.0642,39.8198,48.7221,43.6257,0.014775285582154352,0.007389809493886254,0.013987413111809946,0.014196441005685838,0.0292715341776721,
2000-03-13,2.267,2.267,2.267,2.267,14400.0,2.2667,2.2367,2.265,2.3892,2.3606,2.3404,2.2987,2.2572,2.1727,2.1621,2.2035,2.17,65.4179,42.7671,49.4078,45.212,0.007527155309063116,0.007388081883870738,0.014386776531585668,0.013077871838675977,0.029293634855153693,0.024486139678976886
2000-03-14,2.217,2.25,2.217,2.233,10800.0,2.2278,2.2333,2.2517,2.3767,2.3594,2.3413,2.3017,2.2614,2.1748,2.1631,2.2052,2.1723,38.6805,38.5222,48.0776,42.6285,-0.01511139866737099,0.01558981191906243,0.011382441878036284,0.012300733847740485,0.020677608616648142,0.024501222174930892
2000-03-15,2.317,2.317,2.3,2.3,8400.0,2.2667,2.2533,2.25,2.3567,2.3606,2.3438,2.305,2.2664,2.1777,2.1643,2.2068,2.1753,72.4549,49.7453,50.8172,48.9158,0.02956315007708299,0.022337951626028408,0.016636760598946154,0.015449118619571016,0.02073021210848104,0.02474119715110268
2000-03-16,2.317,2.317,2.3,2.3,8400.0,2.2667,2.2533,2.25,2.3567,2.3606,2.3438,2.305,2.2664,2.1777,2.1643,2.2068,2.1753,72.4549,49.7453,50.8172,48.9158,0.0,0.022723517618262606,0.016636760598946154,0.014503930300276748,0.020305276669182543,0.024725655550632778
2000-03-17,2.317,2.317,2.317,2.317,2400.0,2.3167,2.2733,2.2533,2.3433,2.3628,2.3463,2.31,2.2711,2.1807,2.1657,2.2081,2.1779,77.1703,52.1996,51.4793,50.3799,0.007364122515135296,0.015389428014030518,0.01613242005020178,0.014566751126408636,0.019002638320971772,0.02474123667580783
2000-03-20,2.233,2.283,2.233,2.267,15600.0,2.25,2.2767,2.255,2.3258,2.3639,2.3483,2.3137,2.2753,2.1832,2.1668,2.2094,2.1804,43.5904,44.8133,49.4148,46.1104,-0.021815873924847295,0.015174731451551028,0.02020208446972186,0.016553213955372046,0.01908373160758327,0.024954125321282928
2000-03-21,2.233,2.283,2.233,2.267,15600.0,2.25,2.2767,2.255,2.3258,2.3639,2.3483,2.3137,2.2753,2.1832,2.1668,2.2094,2.1804,43.5904,44.8133,49.4148,46.1104,0.0,0.015174731451551028,0.018428725024171116,0.01444036210634564,0.018290553724518155,0.02493380909860849
2000-03-22,2.267,2.267,2.267,2.267,2400.0,2.2667,2.2767,2.2567,2.3133,2.3633,2.3467,2.3167,2.2794,2.1858,2.1679,2.2111,2.1829,43.5904,44.8133,49.4148,46.1104,0.0,0.01259540068311753,0.011049796737509845,0.014367107927475071,0.015172436904246557,0.02493380909860849
2000-03-23,2.317,2.317,2.317,2.3,4800.0,2.2958,2.29,2.2617,2.305,2.3667,2.345,2.3203,2.2831,2.1887,2.1692,2.2125,2.1849,65.8684,50.6994,50.8219,49.4243,0.014451751409712,0.00834372256665876,0.013592422285329317,0.014837003487552555,0.014806275886834742,0.02499127607101808
2000-03-24,2.367,2.367,2.367,2.367,13200.0,2.3561,2.3033,2.2783,2.3033,2.3683,2.3446,2.3243,2.2881,2.1922,2.1711,2.2146,2.1868,84.3777,60.2407,53.4981,55.3395,0.028714207596743035,0.014357207790304867,0.018829006646816387,0.01655138325051954,0.016399599415431322,0.025187188715235842
2000-03-27,2.383,2.383,2.383,2.383,1200.0,2.3833,2.3167,2.295,2.2975,2.3689,2.3458,2.328,2.2936,2.1953,2.1736,2.2169,2.1889,87.0178,62.2931,54.1434,56.7028,0.0067368675847581105,0.011150041576319382,0.012048711561957517,0.016540226651273103,0.015277397147024143,0.025196371702289125
2000-03-28,2.333,2.333,2.317,2.333,14400.0,2.325,2.33,2.3033,2.2925,2.3672,2.3467,2.3313,2.2967,2.198,2.175,2.2187,2.1914,49.4287,53.0505,51.9077,51.6125,-0.02120520507731205,0.02501902829307263,0.01846411552059406,0.017450324470147837,0.015266603290047087,0.023601751520863683
2000-03-29,2.333,2.367,2.333,2.35,12000.0,2.345,2.3467,2.3117,2.2883,2.3633,2.3483,2.3347,2.3008,2.2008,2.1767,2.2208,2.1939,58.4113,55.5251,52.5829,53.1231,0.007260335116774597,0.016285578597083204,0.01818325109090474,0.015147527774716948,0.014908543270302553,0.023533489657715977
2000-03-30,2.333,2.367,2.333,2.333,34800.0,2.3534,2.3533,2.3217,2.2867,2.3583,2.35,2.3373,2.305,2.2035,2.1782,2.2223,2.1963,46.1227,52.417,51.8302,51.3952,-0.007260335116774597,0.014233740670140943,0.018603681048013968,0.015433362310909946,0.014581827172600216,0.023533217778147555
2000-03-31,2.333,2.333,2.333,2.333,13200.0,2.3333,2.3467,2.325,2.2875,2.3461,2.3517,2.34,2.3083,2.206,2.1796,2.2238,2.1988,46.1227,52.417,51.8302,51.3952,0.0,0.007260335116774601,0.011817407512664089,0.015293522180158559,0.014581827172600216,0.023341360811792933
2000-04-03,2.333,2.333,2.333,2.333,6000.0,2.3333,2.3367,2.3267,2.29,2.3378,2.3538,2.3423,2.3128,2.2083,2.1811,2.2252,2.2014,46.1227,52.417,51.8302,51.3952,0.0,0.004191756434076725,0.010783708892496476,0.013129587147197213,0.014581827172600216,0.02325068943083277
2000-04-04,2.333,2.333,2.333,2.333,12000.0,2.3333,2.3367,2.3333,2.2942,2.3283,2.3563,2.3453,2.3169,2.2107,2.1826,2.2262,2.2038,46.1227,52.417,51.8302,51.3952,0.0,2.537213116616871e-10,0.005133832194758158,0.013129587147197213,0.013432630848449728,0.02322418129146851
2000-04-05,2.333,2.333,2.333,2.333,12000.0,2.3333,2.3367,2.3333,2.2942,2.3283,2.3563,2.3453,2.3169,2.2107,2.1826,2.2262,2.2038,46.1227,52.417,51.8302,51.3952,0.0,2.537213116616871e-10,0.0032469205721074026,0.013129587147197213,0.013399221415833175,0.02319932276174807
2000-04-06,2.333,2.333,2.333,2.333,12000.0,2.3333,2.3367,2.3333,2.2942,2.3283,2.3563,2.3453,2.3169,2.2107,2.1826,2.2262,2.2038,46.1227,52.417,51.8302,51.3952,0.0,2.537213116616871e-10,4.0536945095472385e-10,0.01249303039319423,0.013399221415833175,0.02319932276174807
2000-04-07,2.333,2.333,2.333,2.333,12000.0,2.3333,2.3367,2.3333,2.2942,2.3283,2.3563,2.3453,2.3169,2.2107,2.1826,2.2262,2.2038,46.1227,52.417,51.8302,51.3952,0.0,2.537213116616871e-10,4.0536945095472385e-10,0.008024530171510332,0.013093536147151164,0.023170084762438745
2000-04-10,2.333,2.333,2.333,2.333,12000.0,2.3333,2.3367,2.3333,2.2942,2.3283,2.3563,2.3453,2.3169,2.2107,2.1826,2.2262,2.2038,46.1227,52.417,51.8302,51.3952,0.0,2.537213116616871e-10,4.0536945095472385e-10,0.007528609006461141,0.013028610358538048,0.023139385940667015
2000-04-11,2.333,2.333,2.333,2.333,6000.0,2.3333,2.3333,2.34,2.2983,2.3222,2.3575,2.3453,2.3206,2.2132,2.1853,2.2267,2.206,46.1227,52.417,51.8302,51.3952,0.0,2.537213116616871e-10,4.0536945095472385e-10,0.003422554796505338,0.012443579747041978,0.023139385940667015
2000-04-12,2.317,2.317,2.283,2.283,22800.0,2.3079,2.3233,2.3383,2.3,2.3161,2.3596,2.3437,2.3233,2.2152,2.1875,2.2266,2.2078,7.9622,40.2399,49.3208,45.0301,-0.021664625491634504,0.012508077359487623,0.00968871506127392,0.006979359482557145,0.011766582101328405,0.023147042959356722
2000-04-13,2.333,2.333,2.333,2.333,8400.0,2.3214,2.3233,2.335,2.3067,2.3139,2.36,2.3427,2.3261,2.2177,2.1896,2.2266,2.2096,58.931,52.6222,51.738,51.4988,0.021664625491634504,0.021664625491634504,0.015319203597001703,0.010212802398001103,0.012757984674447243,0.02271495885137703
2000-04-14,2.3,2.3,2.3,2.3,8400.0,2.3,2.3167,2.3267,2.3108,2.3072,2.3583,2.342,2.3278,2.2197,2.1921,2.2266,2.2112,37.9275,45.5445,50.0903,47.4868,-0.014245870104189096,0.023173352570742167,0.016591171201921693,0.011162249518943748,0.013076108238135094,0.022819089886031835
2000-04-17,2.183,2.183,2.1,2.15,20400.0,2.1402,2.28,2.3083,2.3058,2.2978,2.3525,2.339,2.3275,2.2203,2.1929,2.2241,2.212,11.1363,27.0953,43.6233,34.4723,-0.06744128079553247,0.04483149552828484,0.03299782205437985,0.023623679512870727,0.019444142035563862,0.024781538338376208
2000-04-18,2.183,2.217,2.167,2.167,14400.0,2.1944,2.2467,2.29,2.3008,2.2889,2.345,2.3367,2.3272,2.2215,2.194,2.2201,2.2133,20.4963,30.6089,44.4477,36.553,0.007875880414650482,0.03871218227164665,0.03414085502713228,0.024053649048640977,0.019579904397167495,0.023642848580805495
2000-04-19,2.183,2.217,2.167,2.167,14400.0,2.1944,2.2467,2.29,2.3008,2.2889,2.345,2.3367,2.3272,2.2215,2.194,2.2201,2.2133,20.4963,30.6089,44.4477,36.553,0.0,0.04139853181858913,0.03441947901825229,0.024053649048640977,0.019579904397167495,0.023416429547869363
2000-04-20,2.183,2.217,2.183,2.183,16800.0,2.1881,2.2267,2.275,2.2983,2.2828,2.3375,2.335,2.3269,2.223,2.1954,2.2169,2.2145,31.3436,34.1778,45.2755,38.6508,0.007356355013584892,0.004404833671360787,0.03156012303403846,0.024414255940404923,0.01932385511470271,0.023421183455772463
2000-04-21,2.183,2.217,2.183,2.183,16800.0,2.1881,2.2267,2.275,2.2983,2.2828,2.3375,2.335,2.3269,2.223,2.1954,2.2169,2.2145,31.3436,34.1778,45.2755,38.6508,0.0,0.004247193547347687,0.03209094468499147,0.024414255940404923,0.01788732425765547,0.02282741551471
2000-04-24,2.183,2.183,2.167,2.167,12000.0,2.175,2.1933,2.2583,2.2917,2.2778,2.3242,2.333,2.3264,2.2243,2.1967,2.214,2.2153,26.0187,32.3084,44.5882,37.3219,-0.007356355013584892,0.007356355013584893,0.006282028176005153,0.02430234147651089,0.01771696139327074,0.022800977279348877
2000-04-25,2.167,2.183,2.167,2.167,14400.0,2.175,2.1667,2.2417,2.2842,2.2739,2.3138,2.3313,2.3256,2.2257,2.1979,2.2108,2.2157,26.0187,32.3084,44.5882,37.3219,0.0,0.004247193547347698,0.005201728514921521,0.02430234147651089,0.017310271252268635,0.019090516423040025
