Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,0.886,0.9,0.886,0.9,47197.0,0.8969,0.8429,0.8335,0.8054,0.8055,0.8087,0.8046,0.8142,0.872,0.88,0.8977,0.9266,90.4085,71.8521,61.3185,58.9981,,,,,,
2000-01-04,0.908,0.955,0.908,0.922,52749.0,0.9278,0.8702,0.8432,0.8137,0.8074,0.8111,0.8065,0.8157,0.8719,0.8803,0.8953,0.9266,93.2195,75.123,64.0612,60.1818,0.024150460232283108,,,,,
2000-01-05,0.864,0.893,0.864,0.893,8329.0,0.8765,0.889,0.8497,0.8187,0.8084,0.8139,0.8076,0.8166,0.8715,0.8802,0.8931,0.926,58.7714,63.9721,58.1417,57.8772,-0.03195864268009481,,,,,
2000-01-06,0.893,0.893,0.893,0.893,2776.0,0.8933,0.8947,0.8562,0.8239,0.8125,0.8159,0.8089,0.8147,0.8706,0.8799,0.8911,0.9255,58.7714,63.9721,58.1417,57.8772,0.0,0.028144955145984515,,,,
2000-01-07,0.893,0.893,0.893,0.893,2776.0,0.8933,0.8947,0.8562,0.8239,0.8125,0.8159,0.8089,0.8147,0.8706,0.8799,0.8911,0.9255,58.7714,63.9721,58.1417,57.8772,0.0,0.018451330954287803,,,,
2000-01-10,0.893,0.893,0.893,0.893,2776.0,0.8933,0.8947,0.8562,0.8239,0.8125,0.8159,0.8089,0.8147,0.8706,0.8799,0.8911,0.9255,58.7714,63.9721,58.1417,57.8772,0.0,3.2927225399135965e-10,0.01995248122889358,,,
2000-01-11,0.915,0.915,0.9,0.908,13881.0,0.9099,0.9034,0.8641,0.8293,0.817,0.8202,0.8122,0.8152,0.8694,0.8797,0.8898,0.9252,70.8782,67.0657,60.2705,58.7229,0.016657797724794254,0.009617384000516304,0.017691904191782955,,,
2000-01-12,0.915,0.915,0.9,0.908,13881.0,0.9099,0.9034,0.8641,0.8293,0.817,0.8202,0.8122,0.8152,0.8694,0.8797,0.8898,0.9252,70.8782,67.0657,60.2705,58.7229,0.0,0.009617384000516304,0.00744959361361626,,,
2000-01-13,0.864,0.864,0.857,0.857,5553.0,0.8609,0.8947,0.8688,0.8326,0.8192,0.8227,0.8146,0.8142,0.8671,0.8786,0.8881,0.9244,27.8865,50.1202,50.5754,54.7431,-0.057806460003513555,0.03908110097861843,0.028637504088661225,,,
2000-01-14,0.836,0.836,0.836,0.836,2776.0,0.8357,0.8774,0.8738,0.8366,0.8211,0.8224,0.8166,0.814,0.8647,0.8775,0.8866,0.923,20.0632,44.6774,47.08,53.1462,-0.024809305513078195,0.02899971454642477,0.02900206880626995,,,
2000-01-17,0.85,0.864,0.846,0.861,38868.0,0.8537,0.871,0.88,0.8414,0.8222,0.8227,0.8187,0.8141,0.8625,0.877,0.8852,0.9215,46.3851,51.5789,51.3081,54.7396,0.02946589134302921,0.044066375139837397,0.03477238526169106,0.026897248338017966,,
2000-01-18,0.864,0.864,0.864,0.864,11105.0,0.8645,0.8652,0.88,0.8461,0.8246,0.8229,0.8194,0.8152,0.8597,0.8765,0.884,0.9197,49.9189,52.5306,51.8993,54.966,0.0034782643763248133,0.02714571899759289,0.03295440702667881,0.02519726751770021,,
2000-01-19,0.832,0.864,0.832,0.864,8329.0,0.8537,0.8565,0.88,0.8506,0.8264,0.823,0.8215,0.8163,0.858,0.876,0.8828,0.9181,49.9189,52.5306,51.8993,54.966,0.0,0.016102245345869192,0.03295440702667881,0.0235841674297129,,
2000-01-20,0.882,0.882,0.882,0.882,8329.0,0.8825,0.8616,0.8782,0.8558,0.8296,0.8237,0.8226,0.8169,0.8563,0.8756,0.8817,0.9162,71.2424,57.7816,55.0634,56.1396,0.020619287202735703,0.011038327102691259,0.02095014103099132,0.02477610932375595,,
2000-01-21,0.9,0.944,0.9,0.918,44420.0,0.9115,0.8782,0.8778,0.8605,0.8351,0.825,0.8244,0.8184,0.8547,0.8758,0.8808,0.9141,87.3722,66.1954,60.6399,58.3835,0.040005334613699206,0.020005835134292972,0.016991877854620446,0.028016371959110484,,
2000-01-24,0.908,0.908,0.9,0.9,8329.0,0.9029,0.8861,0.8785,0.8641,0.8387,0.8259,0.8268,0.8194,0.8533,0.8764,0.8798,0.9119,61.5008,59.5228,56.8416,56.8784,-0.019802627296179737,0.030514319900093047,0.022568349438678224,0.028918538532594833,,
2000-01-25,0.9,0.918,0.9,0.918,69407.0,0.9166,0.8969,0.881,0.8686,0.843,0.8296,0.829,0.8209,0.852,0.8771,0.8791,0.9097,73.3414,63.6455,59.5689,57.9985,0.019802627296179737,0.030423997880227427,0.022774991459321096,0.029126731869588945,,
2000-01-26,0.9,0.918,0.882,0.9,38868.0,0.9121,0.9041,0.8803,0.8722,0.8463,0.8329,0.8322,0.8236,0.8506,0.8774,0.8782,0.9078,50.1881,57.1025,55.7734,56.4808,-0.019802627296179737,0.022866104400222402,0.026780248778133113,0.029873079502440107,,
2000-01-27,0.9,0.911,0.886,0.911,13881.0,0.9041,0.9099,0.8857,0.8773,0.8503,0.8358,0.8353,0.8265,0.8497,0.8775,0.8776,0.9059,61.2094,59.8861,57.5222,57.1763,0.012148133935647579,0.021008008803094124,0.026053410108895333,0.0222911242374805,,
2000-01-28,0.879,0.918,0.879,0.918,63854.0,0.9168,0.9099,0.894,0.8839,0.8557,0.8393,0.8367,0.8295,0.8483,0.8773,0.8769,0.9042,68.2372,61.7477,58.6948,57.6432,0.007654493360532158,0.017296133593324634,0.018591668632878762,0.01947365124491903,,
2000-01-31,0.918,0.918,0.9,0.918,72183.0,0.9167,0.9135,0.8998,0.8899,0.8609,0.8416,0.8381,0.8322,0.8474,0.877,0.8763,0.9025,68.2372,61.7477,58.6948,57.6432,0.0,0.006142220450065092,0.015099898284602687,0.018285886159578043,0.02306521931672693,
