Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,1.8,1.82,1.8,1.82,17000.0,1.8012,1.74,1.708,1.6205,1.58,1.5485,1.571,1.5974,1.61,1.6503,1.5656,1.54,87.3054,71.8894,69.3004,57.3369,,,,,,
2000-01-04,1.85,1.85,1.83,1.83,27000.0,1.8426,1.766,1.731,1.638,1.591,1.5548,1.5734,1.6002,1.6112,1.6496,1.5694,1.5417,88.5098,72.6305,69.8481,57.761,0.005479465764625546,,,,,
2000-01-05,1.8,1.8,1.65,1.71,11000.0,1.7582,1.768,1.722,1.6485,1.598,1.5588,1.574,1.601,1.6125,1.6482,1.5725,1.543,32.6873,53.5652,56.7605,51.416,-0.06782259633876109,,,,,
2000-01-06,1.78,1.8,1.78,1.78,19000.0,1.7889,1.776,1.735,1.6625,1.6073,1.5658,1.576,1.6023,1.6148,1.6473,1.576,1.5451,56.6244,60.3888,61.3142,54.4363,0.04011999378942532,0.05511315822019779,,,,
2000-01-07,1.78,1.8,1.78,1.78,19000.0,1.7889,1.776,1.735,1.6625,1.6073,1.5658,1.576,1.6023,1.6148,1.6473,1.576,1.5451,56.6244,60.3888,61.3142,54.4363,0.0,0.0545605492998004,,,,
2000-01-10,1.78,1.8,1.78,1.78,19000.0,1.7889,1.776,1.735,1.6625,1.6073,1.5658,1.576,1.6023,1.6148,1.6473,1.576,1.5451,56.6244,60.3888,61.3142,54.4363,0.0,0.023163289214210823,0.039181530914288464,,,
2000-01-11,1.8,1.81,1.8,1.8,10000.0,1.802,1.788,1.745,1.6775,1.6177,1.5753,1.579,1.6023,1.6173,1.6469,1.5795,1.5473,62.3608,62.1754,62.5284,55.2584,0.011173300598125269,0.0064509081080642355,0.03962233447643911,,,
2000-01-12,1.78,1.8,1.78,1.8,6000.0,1.7833,1.784,1.762,1.6905,1.6267,1.5868,1.5818,1.602,1.6203,1.6459,1.583,1.5491,62.3608,62.1754,62.5284,55.2584,0.0,0.0064509081080642355,0.0173799894857132,,,
2000-01-13,1.75,1.78,1.75,1.75,12000.0,1.7583,1.768,1.767,1.701,1.6343,1.5955,1.5834,1.6014,1.6233,1.6452,1.5861,1.5504,35.7594,54.4105,57.3127,52.7138,-0.0281708769666964,0.02027480071246501,0.01466848181346428,,,
2000-01-14,1.78,1.85,1.78,1.85,8000.0,1.8263,1.796,1.782,1.715,1.6457,1.607,1.5872,1.6035,1.6249,1.6448,1.59,1.5525,71.8208,64.4109,63.8138,56.8271,0.055569851154810834,0.042610867574600364,0.030450308850074104,,,
2000-01-17,1.86,1.86,1.84,1.84,8000.0,1.8575,1.808,1.792,1.7295,1.6563,1.6173,1.5908,1.6053,1.6264,1.644,1.5933,1.5545,66.243,62.8597,62.7841,56.3203,-0.005420067469339207,0.043301037425766284,0.030886941715198513,0.03376952111439287,,
2000-01-18,1.84,1.84,1.8,1.8,18000.0,1.8161,1.808,1.798,1.742,1.6677,1.626,1.594,1.607,1.6275,1.6426,1.5959,1.5563,45.1869,56.7133,58.7036,54.3158,-0.021978906718775226,0.04084069697986145,0.03314383856150863,0.034482033128566604,,
2000-01-19,1.8,1.8,1.8,1.8,2000.0,1.8,1.808,1.796,1.752,1.679,1.634,1.598,1.6085,1.6291,1.6406,1.5988,1.5589,45.1869,56.7133,58.7036,54.3158,0.0,0.011450215639988888,0.03314383856150863,0.025528660323844717,,
2000-01-20,1.81,1.88,1.8,1.84,38000.0,1.8366,1.826,1.797,1.764,1.691,1.6425,1.6032,1.6107,1.6311,1.6387,1.6019,1.5614,68.0425,61.4802,61.5982,55.992,0.021978906718775226,0.021978906718775233,0.029918765052661115,0.023314431010703806,,
2000-01-21,1.86,1.9,1.86,1.86,42000.0,1.8857,1.828,1.812,1.767,1.703,1.6515,1.6094,1.6137,1.6333,1.6367,1.6047,1.5643,75.6557,63.7271,62.9948,56.8116,0.010810916104215695,0.010989936775158636,0.016632689723019792,0.023394138416118117,,
2000-01-24,1.9,1.9,1.86,1.89,26000.0,1.8785,1.838,1.823,1.779,1.716,1.6613,1.6172,1.6172,1.636,1.6357,1.6076,1.5676,84.151,66.9776,65.0483,58.0246,0.016000341346441016,0.00558864015396129,0.017286286516363082,0.023606252101923464,,
2000-01-25,1.88,1.88,1.88,1.88,4000.0,1.88,1.854,1.831,1.788,1.7287,1.671,1.6264,1.621,1.6386,1.6366,1.6104,1.5708,71.6494,64.8,63.7779,57.468,-0.005305052229693241,0.011109863223866938,0.011246241125872823,0.023779223873540548,,
2000-01-26,1.83,1.9,1.77,1.77,18000.0,1.8339,1.848,1.828,1.795,1.7363,1.677,1.635,1.6228,1.6402,1.6377,1.6127,1.5739,20.7604,46.2085,51.7944,51.8124,-0.06029223025611996,0.03936594557159742,0.033401945803965646,0.031420205804085354,,
2000-01-27,1.75,1.79,1.75,1.79,13000.0,1.7631,1.838,1.832,1.7995,1.7447,1.6838,1.6428,1.6248,1.6418,1.6376,1.615,1.5771,33.6187,49.1903,53.505,52.6882,0.011236073266925883,0.03744662153183254,0.0316647785899615,0.030175206361566335,,
2000-01-28,1.8,1.8,1.75,1.75,27000.0,1.7744,1.816,1.822,1.802,1.7507,1.6898,1.65,1.6263,1.6433,1.6383,1.6169,1.5801,22.6112,43.7355,49.706,50.7788,-0.02259983191724102,0.03578147466928856,0.030875021833988162,0.024403793331091668,,
2000-01-31,1.7,1.8,1.7,1.8,14000.0,1.7657,1.798,1.818,1.805,1.759,1.6968,1.6574,1.6287,1.645,1.6396,1.6193,1.5833,52.0491,51.3258,54.0937,52.9821,0.0281708769666964,0.025849954663271724,0.03397720058620469,0.02663460768728824,0.02964899278922794,
2000-02-01,1.7,1.8,1.7,1.8,14000.0,1.7657,1.798,1.818,1.805,1.759,1.6968,1.6574,1.6287,1.645,1.6396,1.6193,1.5833,52.0491,51.3258,54.0937,52.9821,0.0,0.025436245767073602,0.0342328865690387,0.02571176953460208,0.029615618392532624,
2000-02-02,1.81,1.81,1.8,1.8,13000.0,1.8077,1.782,1.818,1.808,1.7673,1.7053,1.6644,1.6313,1.6471,1.6408,1.6217,1.5865,52.0491,51.3258,54.0937,52.9821,0.0,0.016264463400030023,0.01853445581208043,0.02571176953460208,0.02507548437610875,
2000-02-03,1.8,1.85,1.8,1.82,36000.0,1.8181,1.792,1.82,1.808,1.7747,1.7143,1.6712,1.635,1.6486,1.643,1.6253,1.5898,64.2784,54.4375,55.8794,53.8661,0.01104983618658495,0.0063796258968261575,0.018514851153183354,0.0248929662406704,0.023582062883905106,
2000-02-04,1.8,1.85,1.8,1.82,36000.0,1.8181,1.792,1.82,1.808,1.7747,1.7143,1.6712,1.635,1.6486,1.643,1.6253,1.5898,64.2784,54.4375,55.8794,53.8661,0.0,0.0063796258968261575,0.01232927735892001,0.0245509532824529,0.023582062883905106,
2000-02-07,1.8,1.85,1.8,1.82,36000.0,1.8181,1.792,1.82,1.808,1.7747,1.7143,1.6712,1.635,1.6486,1.643,1.6253,1.5898,64.2784,54.4375,55.8794,53.8661,0.0,0.0063796258968261575,0.004941636970688138,0.02374298096692498,0.023582062883905106,
2000-02-08,1.8,1.92,1.8,1.9,70000.0,1.8917,1.814,1.826,1.8115,1.7847,1.7248,1.6792,1.6403,1.6509,1.6446,1.6283,1.5936,85.882,64.6167,62.2112,57.1961,0.043017385083690685,0.02483609885790263,0.018627542886885968,0.027942697871174305,0.025308978072242996,
2000-02-09,1.9,1.95,1.9,1.93,36000.0,1.9303,1.85,1.833,1.8225,1.789,1.7355,1.6878,1.6467,1.6539,1.6475,1.6314,1.5975,89.4657,67.6643,64.2813,58.362,0.01566611674439944,0.021771596607566505,0.01764563562828115,0.01794961005165827,0.025462869317037857,
2000-02-10,1.97,2.1,1.97,2.09,92000.0,2.044,1.908,1.853,1.838,1.8037,1.7503,1.6996,1.6565,1.6583,1.652,1.6356,1.6022,96.5241,78.6816,72.8302,63.802,0.07964406305992544,0.03210083860299979,0.033956576581022684,0.02879939603893298,0.029500528456156073,
2000-02-11,2.3,2.3,2.13,2.16,56000.0,2.1677,1.98,1.881,1.856,1.819,1.7668,1.713,1.6688,1.6633,1.6571,1.64,1.6071,97.5857,81.7432,75.5835,65.8229,0.03294415571935416,0.0330973050040592,0.0302391152072954,0.025840122832132,0.028011999933354265,
2000-02-14,2.16,2.24,2.16,2.23,83000.0,2.1918,2.062,1.927,1.8775,1.839,1.784,1.727,1.6837,1.6689,1.6632,1.6444,1.6124,98.3443,84.2826,77.9859,67.6889,0.03189336377595364,0.027270603194143473,0.0239081218443171,0.02598054640444266,0.028329727984301868,
2000-02-15,2.22,2.27,2.18,2.18,79000.0,2.2218,2.118,1.966,1.899,1.855,1.8,1.7402,1.6967,1.6736,1.6693,1.6484,1.6174,73.5762,75.8094,72.4986,65.0639,-0.022676708671029666,0.03181372221256837,0.03682962973889962,0.028885303447229158,0.028371081423299197,
2000-02-16,2.19,2.19,2.14,2.14,18000.0,2.1822,2.16,2.005,1.9135,1.8697,1.8143,1.7528,1.7092,1.6788,1.673,1.6522,1.6223,56.5006,69.5192,68.355,63.0407,-0.018519047767237562,0.030377047773661865,0.042335790711651104,0.03078117655937112,0.028995430551669973,
2000-02-17,2.14,2.18,2.14,2.16,9000.0,2.1478,2.174,2.041,1.9295,1.8837,1.8295,1.7656,1.7213,1.6842,1.6769,1.6559,1.6269,62.9496,70.8784,69.2998,63.6257,0.009302392662313586,0.017387647022403703,0.026594939957602825,0.03082554134084697,0.028826815293670826,
2000-02-18,2.15,2.2,2.15,2.15,51000.0,2.1624,2.172,2.076,1.947,1.8973,1.8445,1.7794,1.733,1.6895,1.6808,1.6594,1.631,56.6506,69.1441,68.2033,63.109,-0.0046403795565023165,0.013910732523394335,0.02223811989854289,0.031145284927568156,0.028954765608483906,
2000-02-21,2.15,2.15,2.1,2.15,36000.0,2.1139,2.156,2.109,1.9645,1.9083,1.8583,1.7932,1.7442,1.6943,1.685,1.6637,1.6354,56.6506,69.1441,68.2033,63.109,0.0,0.007100100102792679,0.013212806265626275,0.031145284927568156,0.02892113616181789,
2000-02-22,2.13,2.16,2.08,2.15,108000.0,2.1251,2.15,2.134,1.98,1.919,1.872,1.8066,1.755,1.6995,1.6892,1.668,1.6397,56.6506,69.1441,68.2033,63.109,0.0,0.002679124386088799,0.010156516134431873,0.030052404064662416,0.028831892161991696,
2000-02-23,2.18,2.4,2.17,2.3,103000.0,2.2226,2.182,2.171,2.002,1.9387,1.8845,1.8226,1.7683,1.7062,1.6947,1.673,1.6444,92.8535,79.7346,75.4736,67.4929,0.06744128079553247,0.03893724162179382,0.03006915773982293,0.034774078342271864,0.02731640097469882,
2000-02-24,2.3,2.35,2.26,2.3,90000.0,2.2998,2.21,2.192,2.0225,1.956,1.9008,1.8386,1.7817,1.7129,1.7005,1.6783,1.6491,92.8535,79.7346,75.4736,67.4929,0.0,0.03893724162179382,0.030745198155498095,0.02728323597860873,0.027471778498441218,
2000-02-25,2.32,2.32,2.24,2.24,73000.0,2.2616,2.228,2.2,2.0405,1.9707,1.9143,1.8534,1.7942,1.7191,1.7056,1.6832,1.6534,53.0098,67.9311,68.2357,64.2259,-0.026433257068155358,0.048407079877661845,0.03503823565966191,0.028081677322673245,0.027741859935174428,
2000-02-28,2.1,2.1,2.07,2.1,28000.0,2.0875,2.218,2.187,2.057,1.9807,1.926,1.8646,1.8037,1.7234,1.7097,1.6874,1.6571,21.1882,48.9208,54.9854,57.5067,-0.06453852113757119,0.032444693812845656,0.048222212940520294,0.033361236190836335,0.03232491361278278,
2000-02-29,2.1,2.1,2.0,2.1,22000.0,2.0618,2.208,2.179,2.0725,1.9923,1.936,1.8758,1.8133,1.7281,1.7136,1.6915,1.6608,21.1882,48.9208,54.9854,57.5067,0.0,0.032444693812845656,0.048222212940520294,0.03286927669087995,0.03232491361278278,
2000-03-01,2.1,2.1,2.05,2.05,17000.0,2.0641,2.158,2.17,2.0875,1.999,1.9448,1.8854,1.8223,1.7324,1.7173,1.6953,1.6639,14.2933,43.4275,50.8921,55.2957,-0.024097551579060572,0.03261233080079425,0.02644068668991679,0.03319373392176733,0.033067891526144394,
2000-03-02,2.05,2.05,2.0,2.0,39000.0,2.0215,2.098,2.154,2.0975,2.0043,1.9513,1.8944,1.8303,1.7362,1.7205,1.6989,1.6671,9.605,38.5568,47.1149,53.1805,-0.024692612590371477,0.014087649474219421,0.023171506161685583,0.03338648128109164,0.03376763896312933,
2000-03-03,1.92,2.0,1.9,2.0,24000.0,1.92,2.05,2.139,2.1075,2.011,1.9578,1.9034,1.8393,1.74,1.7238,1.7024,1.6703,9.605,38.5568,47.1149,53.1805,0.0,0.01408764947421942,0.026395831283488793,0.033465825760866263,0.03376763896312933,
2000-03-06,2.03,2.03,2.02,2.03,30000.0,2.0233,2.036,2.127,2.118,2.0187,1.963,1.912,1.8488,1.7437,1.7269,1.7062,1.6745,37.348,43.3792,49.7121,54.3029,0.01488861249375062,0.01999195370512507,0.01719174837988374,0.0341475686617986,0.033822280968680826,
2000-03-07,2.02,2.03,2.0,2.0,71000.0,2.011,2.016,2.112,2.123,2.024,1.9673,1.92,1.8575,1.747,1.7296,1.7097,1.6778,25.5745,39.8597,47.215,52.9888,-0.01488861249375062,0.01488861249375067,0.017012220965277883,0.034193883482751826,0.03290403641607732,
2000-03-08,2.02,2.02,2.02,2.02,4000.0,2.005,2.01,2.084,2.1275,2.0293,1.975,1.9244,1.8662,1.7506,1.7328,1.7133,1.681,43.4129,43.3093,49.0523,53.7605,0.009950330853168099,0.015958502749889733,0.01664788868325347,0.023360936287295193,0.03280893904635271,
2000-03-09,1.96,1.96,1.96,1.96,5000.0,1.96,2.002,2.05,2.121,2.0317,1.9795,1.9306,1.8738,1.7532,1.7354,1.7166,1.6841,20.886,36.2851,44.0937,51.1545,-0.030153038170687596,0.020241277977200156,0.018506258957425133,0.023445071366347214,0.028018593201955523,
