Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2007-06-28,64.202,64.202,61.045,63.15,3997.0,63.0103,64.4125,62.8338,63.8863,65.9211,67.3332,68.7067,70.2188,76.3162,77.288,76.0367,75.9321,34.188,43.3886,42.2157,42.7888,,,,,,
2007-06-29,63.15,67.36,62.097,65.255,965.0,63.566,64.4125,63.1495,63.781000000000006,65.6755,67.149,68.4962,69.9381,76.1163,77.2003,76.025,75.711,71.2966,55.5935,49.4554,45.4006,0.032789822822991255,,,,,
2007-07-02,65.255,72.622,65.255,72.622,3473.0,68.8267,65.88600000000001,64.3073,64.1494,65.7106,67.1227,68.4752,69.8329,76.0005,77.1652,76.025,75.6689,92.7521,75.9821,65.6682,53.1453,0.10696523460988061,,,,,
2007-07-03,72.622,77.884,63.15,64.202,89293.0,74.1646,65.88600000000001,64.623,64.0442,65.6054,66.9648,68.3068,69.6224,75.59,77.0775,75.9958,75.6268,40.6556,47.778,47.0812,45.5128,-0.12323354337071457,0.11749947510232346,,,,
2007-07-04,64.202,67.36,63.15,66.307,2662.0,65.9161,66.307,65.1493,63.9915,65.3949,66.7806,68.1384,69.4119,75.3374,76.9811,75.99,75.6532,50.9805,52.7145,50.8283,47.4641,0.03226110945372618,0.11743847378954018,,,,
2007-07-05,68.41199999999999,68.41199999999999,65.255,66.307,937.0,65.4984,66.9385,65.6755,64.0442,65.2896,66.6228,68.0121,69.2014,75.0953,76.8846,75.9783,75.6479,50.9805,52.7145,50.8283,47.4641,0.0,0.08206285441850904,0.08406555540079802,,,
2007-07-06,65.255,66.307,64.202,66.307,3389.0,64.7228,67.149,65.7808,64.0968,65.2195,66.4386,67.8647,69.0435,74.8322,76.7969,75.9724,75.6584,50.9805,52.7145,50.8283,47.4641,0.0,0.0186259602274648,0.08309285901212175,,,
2007-07-09,65.255,65.255,63.15,64.202,8451.0,63.873000000000005,65.465,65.6755,64.1494,65.044,66.2544,67.6542,68.8505,74.5586,76.7092,75.9373,75.5637,32.1199,46.4611,46.6984,45.6541,-0.03226110945372618,0.018625960227464804,0.059646381566135324,,,
2007-07-10,65.255,65.255,63.15,65.255,1599.0,64.2909,65.6755,65.7808,64.2547,64.9037,66.1492,67.4648,68.6576,74.2639,76.6215,75.9081,75.4953,46.8635,49.8102,48.9327,46.7053,0.01626830876083396,0.024700005011358505,0.02394412590971354,,,
2007-07-11,64.202,64.202,63.15,63.15,841.0,63.7147,65.044,65.6755,64.2547,64.623,65.965,67.2332,68.4296,73.9481,76.4723,75.873,75.4111,28.3746,43.6646,44.8807,44.9081,-0.032789822822991255,0.02817233940282097,0.021821209077797443,,,
2007-07-12,64.202,65.255,64.202,64.202,2372.0,64.308,64.623,65.7808,64.3073,64.5178,65.88600000000001,67.0227,68.2191,73.6745,76.2706,75.8555,75.3585,44.729,47.3206,47.2335,45.9832,0.016521514062157294,0.028397101767672062,0.024725564321948675,0.05903886969041742,,
2007-07-13,65.255,65.255,63.15,64.202,4190.0,63.6249,64.202,65.6755,64.4125,64.4125,65.6755,66.8543,68.0261,73.3903,76.0864,75.8321,75.3058,44.729,47.3206,47.2335,45.9832,0.0,0.025098940392872613,0.024725564321948675,0.05801910699055428,,
2007-07-16,65.255,65.255,63.15,63.15,1678.0,63.367,63.9915,64.7283,64.5178,64.3424,65.465,66.6438,67.8507,73.0851,75.8935,75.8028,75.2216,29.5485,43.7289,45.0055,45.0426,-0.016521514062157294,0.01652151406215731,0.02139602252249173,0.04371710595125459,,
2007-07-17,63.15,64.202,62.097,64.202,2295.0,62.9558,63.781000000000006,64.7283,64.6757,64.2722,65.3861,66.5175,67.7103,72.7272,75.6918,75.7795,75.1585,53.315,48.1558,47.6641,46.1815,0.016521514062157294,0.01652151406215731,0.02145414987533749,0.021705785193480816,,
2007-07-18,63.15,63.15,63.15,63.15,554.0,63.1495,63.781000000000006,64.4125,64.7809,64.1319,65.1493,66.307,67.5174,72.3589,75.4988,75.7444,75.1059,35.4013,44.2403,45.3054,45.2122,-0.016521514062157294,0.01907740118241342,0.01652151406215728,0.01895748695781431,,
2007-07-19,62.097,63.15,61.045,63.15,1724.0,61.9262,63.5705,64.0968,64.8862,64.0617,64.9914,66.1176,67.3595,72.0431,75.3146,75.6859,75.0585,35.4013,44.2403,45.3054,45.2122,0.0,0.01652151406215731,0.013822890393627607,0.01895748695781431,,
2007-07-20,62.097,63.15,61.045,63.15,2736.0,61.6176,63.36,63.781000000000006,64.7809,63.9915,64.8598,65.9071,67.1841,71.7274,75.1304,75.6333,75.0111,35.4013,44.2403,45.3054,45.2122,0.0,0.009538700591206728,0.013822890393627607,0.01895748695781431,,
2007-07-23,62.097,62.097,61.045,61.045,1071.0,61.1846,62.9391,63.4653,64.5704,63.9214,64.6494,65.6966,66.9561,71.4221,74.9112,75.5865,74.9585,10.8328,35.9227,40.3213,43.2045,-0.03390155167568132,0.01957306998590063,0.01914009547146535,0.019225962505898374,,
