Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-05-30,2.069,2.069,2.069,2.069,19200.0,2.0688,2.0878,2.09,2.0692,2.0817,2.1284,2.097,2.0661,1.9664,1.9847,1.9587,1.9571,48.6149,48.8989,50.7711,49.2834,,,,,,
2000-05-31,2.069,2.069,2.069,2.069,19200.0,2.0688,2.0878,2.09,2.0692,2.0817,2.1284,2.097,2.0661,1.9664,1.9847,1.9587,1.9571,48.6149,48.8989,50.7711,49.2834,0.0,,,,,
2000-06-01,2.04,2.04,2.04,2.04,32000.0,2.0397,2.0616,2.0929,2.0692,2.0817,2.1269,2.0993,2.068,1.9687,1.9818,1.9587,1.9588,43.0437,46.9753,50.0207,47.9338,-0.014115590907280873,,,,,
2000-06-02,2.04,2.04,2.04,2.04,32000.0,2.0397,2.0616,2.0929,2.0692,2.0817,2.1269,2.0993,2.068,1.9687,1.9818,1.9587,1.9588,43.0437,46.9753,50.0207,47.9338,0.0,0.008149640210089246,,,,
2000-06-05,2.04,2.04,2.04,2.04,32000.0,2.0397,2.0616,2.0929,2.0692,2.0817,2.1269,2.0993,2.068,1.9687,1.9818,1.9587,1.9588,43.0437,46.9753,50.0207,47.9338,0.0,0.008149640210089246,,,,
2000-06-06,2.04,2.04,2.04,2.04,32000.0,2.0397,2.0616,2.0929,2.0692,2.0817,2.1269,2.0993,2.068,1.9687,1.9818,1.9587,1.9588,43.0437,46.9753,50.0207,47.9338,0.0,1.1641532182693481e-10,0.006312684162251593,,,
2000-06-07,2.069,2.069,2.069,2.069,12800.0,2.0688,2.0674,2.09,2.0707,2.0827,2.1204,2.1022,2.0709,1.9716,1.9791,1.9584,1.9598,51.3982,49.2225,50.7733,49.4253,0.014115590907280873,0.008149640210089246,0.009981230050993476,,,
2000-06-08,2.069,2.069,2.069,2.069,12800.0,2.0688,2.0674,2.09,2.0707,2.0827,2.1204,2.1022,2.0709,1.9716,1.9791,1.9584,1.9598,51.3982,49.2225,50.7733,49.4253,0.0,0.008149640210089246,0.006312684162251593,,,
2000-06-09,2.069,2.069,2.069,2.069,12800.0,2.0688,2.0674,2.09,2.0707,2.0827,2.1204,2.1022,2.0709,1.9716,1.9791,1.9584,1.9598,51.3982,49.2225,50.7733,49.4253,0.0,0.008149640210089246,0.006312684162251593,,,
2000-06-12,2.069,2.069,2.069,2.069,12800.0,2.0688,2.0674,2.09,2.0707,2.0827,2.1204,2.1022,2.0709,1.9716,1.9791,1.9584,1.9598,51.3982,49.2225,50.7733,49.4253,0.0,1.001543065824773e-18,0.006312684162251593,,,
2000-06-13,2.069,2.011,2.069,1.981,19200.0,1.9911,2.0295,2.0754,2.0692,2.0827,2.1102,2.104,2.0724,1.9744,1.9757,1.9579,1.9613,30.9615,43.063,48.5063,45.2387,-0.043463631046992024,0.02509373908493942,0.02188650062505619,0.01527044463710342,,
2000-06-14,2.069,1.974,2.069,1.974,32000.0,1.9741,2.0266,2.0688,2.0659,2.0824,2.1013,2.105,2.0737,1.9772,1.9727,1.9571,1.9627,29.4955,42.5637,48.3203,44.8974,-0.003539826705124094,0.024136858916116624,0.019103354343938957,0.015199360023622646,,
2000-06-15,2.069,1.974,2.069,1.974,32000.0,1.9741,2.0266,2.0688,2.0659,2.0824,2.1013,2.105,2.0737,1.9772,1.9727,1.9571,1.9627,29.4955,42.5637,48.3203,44.8974,0.0,0.024136858916116624,0.019103354343938957,0.014879913100824167,,
2000-06-16,2.011,2.011,1.945,1.945,19200.0,1.9887,2.0018,2.0448,2.0623,2.0725,2.0905,2.1054,2.075,1.9789,1.9695,1.9563,1.964,22.9699,40.4529,47.5656,43.4842,-0.014799963940880123,0.0077283029219629125,0.01841686688168109,0.01524792705656054,,
2000-06-19,2.011,1.93,1.945,1.923,19200.0,1.9256,1.9785,2.02,2.0535,2.0628,2.0803,2.1042,2.075,1.9798,1.9662,1.9557,1.9644,18.3922,38.8282,46.9961,42.4061,-0.011375510463766947,0.007747774439363618,0.01716848526758514,0.015276928307310752,,
2000-06-20,2.011,1.894,1.945,1.894,38400.0,1.894,1.9435,2.0055,2.0492,2.0531,2.0694,2.1013,2.0746,1.9811,1.9638,1.9557,1.9646,13.1506,36.622,46.2326,40.9483,-0.01519547184275627,0.002100611540096914,0.006864371842168765,0.015379545965169628,,
2000-06-21,2.011,1.894,1.945,1.894,38400.0,1.894,1.9435,2.0055,2.0492,2.0531,2.0694,2.1013,2.0746,1.9811,1.9638,1.9557,1.9646,13.1506,36.622,46.2326,40.9483,0.0,0.0079046052797535,0.007697929864670022,0.01374351404259459,,
2000-06-22,2.011,1.894,1.945,1.894,38400.0,1.894,1.9435,2.0055,2.0492,2.0531,2.0694,2.1013,2.0746,1.9811,1.9638,1.9557,1.9646,13.1506,36.622,46.2326,40.9483,0.0,0.00877310975887873,0.007697929864670022,0.01374351404259459,,
2000-06-23,2.011,1.894,1.945,1.894,38400.0,1.894,1.9435,2.0055,2.0492,2.0531,2.0694,2.1013,2.0746,1.9811,1.9638,1.9557,1.9646,13.1506,36.622,46.2326,40.9483,0.0,6.585445079827193e-10,0.0074010334192016036,0.01374351404259459,,
2000-06-26,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717,0.07425881309223858,0.04287334572850607,0.0355231545280028,0.029768378942129244,,
2000-06-27,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717,0.0,0.04287334572850607,0.03320955080053937,0.025863132242318183,0.02100610158506125,
2000-06-28,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717,0.0,0.04287334572850607,0.03320955080053937,0.02578878670790915,0.02100610158506125,
2000-06-29,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717,0.0,1.041250292910165e-09,0.03320955080053937,0.02578878670790915,0.020767614414487455,
2000-06-30,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717,0.0,1.041250292910165e-09,0.03320955080053937,0.025049424487065108,0.020767614414487455,
2000-07-03,2.04,2.04,2.04,2.04,12800.0,2.0397,1.9552,1.9924,2.0448,2.0463,2.065,2.1008,2.0765,1.9842,1.9614,1.9561,1.9647,72.3183,51.9723,50.4005,50.1717,0.0,1.041250292910165e-09,0.0,0.02448678976835547,0.020767614414487455,
2000-07-04,2.032,2.032,1.981,1.981,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088,-0.02934804013971115,0.016944098874850204,0.013124842551757311,0.02619156146800546,0.021779788370664487,
2000-07-05,2.032,2.032,1.981,1.981,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088,0.0,0.016944098874850204,0.013124842551757311,0.02619156146800546,0.021474814567055116,
2000-07-06,2.032,2.032,1.981,1.981,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088,0.0,0.016944098874850204,0.013124842551757311,0.02619156146800546,0.021474814567055116,
2000-07-07,2.032,2.032,1.981,1.981,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088,0.0,9.878167619740788e-10,0.013124842551757311,0.02619156146800546,0.021474814567055116,
2000-07-10,2.032,2.032,1.981,1.981,19200.0,2.0154,1.9567,1.9916,2.0379,2.0424,2.0599,2.1005,2.0775,1.9862,1.9597,1.9567,1.9646,51.3347,46.8645,48.8341,47.0088,0.0,9.878167619740788e-10,0.013124842551757311,0.009280665170353345,0.021474814567055116,
2000-07-11,1.96,1.981,1.96,1.981,19200.0,1.9669,1.9639,1.9829,2.0364,2.0404,2.057,2.0993,2.0780000000000003,1.988,1.9592,1.958,1.9653,51.3347,46.8645,48.8341,47.0088,0.0,9.878167619740788e-10,0.0,0.009280665170353345,0.019149759776559867,
2000-07-12,2.032,2.032,2.011,2.011,12800.0,2.0215,1.9814,1.98,2.0364,2.0395,2.0563,2.0975,2.0794,1.99,1.959,1.9593,1.9652,63.31100000000001,49.9757,49.6711,48.8776,0.015030343074101116,0.008677772619844764,0.006721773767766651,0.010886888281276796,0.01941742431024864,
2000-07-13,2.04,2.04,2.04,2.04,19200.0,2.0397,2.0106,1.9771,2.0335,2.0395,2.0563,2.0917,2.0814,1.9924,1.9592,1.9608,1.9652,73.2029,53.0671,50.5085,50.7482,0.014317697065610036,0.008479539359748873,0.008041240112372876,0.011982464605645175,0.019644001883934368,
2000-07-14,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,0.008479539359748874,0.008041240112372876,0.011982464605645175,0.01926707661800961,
2000-07-17,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,0.008266326255005532,0.008041240112372876,0.011982464605645175,0.019005629214087626,
2000-07-18,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,1.0347220135521596e-09,0.008041240112372876,0.006189389811816383,0.018539953838023038,
2000-07-19,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,1.0347220135521596e-09,0.006403068783990661,0.006189389811816383,0.018539953838023038,
2000-07-20,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0106,1.9829,2.0291,2.0404,2.0577,2.0847,2.0838,1.9953,1.9604,1.9624,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,1.0347220135521596e-09,0.0,0.006189389811816383,0.018539953838023038,
2000-07-21,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0222,1.9894,2.0291,2.0404,2.0592,2.0789,2.0857,1.9967,1.9621,1.964,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,1.0347220135521596e-09,0.0,0.006189389811816383,0.018539953838023038,
2000-07-24,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0222,1.9894,2.0291,2.0404,2.0592,2.0789,2.0857,1.9967,1.9621,1.964,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,1.0347220135521596e-09,0.0,0.006189389811816383,0.008246897733246362,
2000-07-25,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0222,1.9894,2.0291,2.0404,2.0592,2.0789,2.0857,1.9967,1.9621,1.964,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,1.0347220135521596e-09,0.0,0.006189389811816383,0.008246897733246362,
2000-07-26,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0222,1.9894,2.0291,2.0404,2.0592,2.0789,2.0857,1.9967,1.9621,1.964,1.9653,73.2029,53.0671,50.5085,50.7482,0.0,1.0347220135521596e-09,0.0,0.004527653357563699,0.008246897733246362,
2000-07-27,2.04,2.04,2.04,2.04,6400.0,2.0397,2.0339,1.9989,2.0219,2.0412,2.0541,2.0722,2.0877,1.9989,1.9638,1.9656,1.9646,73.2029,53.0671,50.5085,50.7482,0.0,1.0347220135521596e-09,0.0,1.0975741799711987e-10,0.008246897733246362,
2000-07-28,2.032,2.032,2.032,2.032,6400.0,2.0324,2.0382,2.0098,2.0149,2.039,2.0495,2.0662,2.0885,2.001,1.9653,1.9672,1.9644,54.5788,51.7856,50.269,50.1314,-0.003929278139889525,0.0022685697917863667,0.0017572266046593811,0.0012425468482360658,0.008293568807073024,
2000-07-31,2.025,2.025,2.025,2.025,6400.0,2.0251,2.0353,2.023,2.0142,2.0404,2.0455,2.0601,2.0883,2.0026,1.9668,1.9696,1.9639,39.5034,50.4158,50.0237,49.4837,-0.003450829157733093,0.0021438424228865174,0.0020281920416709833,0.0015599448068595399,0.008325102406893797,
2000-08-01,2.025,2.025,2.025,2.025,6400.0,2.0251,2.0353,2.023,2.0142,2.0404,2.0455,2.0601,2.0883,2.0026,1.9668,1.9696,1.9639,39.5034,50.4158,50.0237,49.4837,0.0,0.0021438424228865174,0.0020281920416709833,0.0015599448068595399,0.004780033071326399,
