Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,0.96,0.999,0.96,0.967,111724.0,0.9689,0.9538,0.9305,0.9058,0.885,0.8713,0.8669,0.8691,0.8616,0.8714,0.8265,0.7982,73.2571,66.9363,66.3885,58.5226,,,,,,
2000-01-04,0.967,0.988,0.96,0.967,136862.0,0.9697,0.9581,0.937,0.913,0.8897,0.8748,0.8696,0.8711,0.8637,0.8719,0.8287,0.8003,73.2571,66.9363,66.3885,58.5226,0.0,,,,,
2000-01-05,0.967,0.967,0.942,0.949,117310.0,0.9519,0.9559,0.9405,0.9191,0.8934,0.878,0.8716,0.8727,0.8655,0.8722,0.8306,0.8025,42.8548,58.7717,60.8336,56.128,-0.018789696843366482,,,,,
2000-01-06,0.967,0.974,0.956,0.97,103345.0,0.9627,0.9588,0.9445,0.9228,0.8973,0.8816,0.8738,0.8747,0.8681,0.8728,0.8326,0.8047,67.2898,64.6008,64.6554,58.2488,0.021887272887500663,0.020358132234250682,,,,
2000-01-07,0.967,0.974,0.956,0.97,103345.0,0.9627,0.9588,0.9445,0.9228,0.8973,0.8816,0.8738,0.8747,0.8681,0.8728,0.8326,0.8047,67.2898,64.6008,64.6554,58.2488,0.0,0.020358132234250682,,,,
2000-01-10,0.967,0.974,0.956,0.97,103345.0,0.9627,0.9588,0.9445,0.9228,0.8973,0.8816,0.8738,0.8747,0.8681,0.8728,0.8326,0.8047,67.2898,64.6008,64.6554,58.2488,0.0,0.012636622893425308,0.014406477939174612,,,
2000-01-11,0.967,0.985,0.967,0.985,150827.0,0.9735,0.9674,0.9534,0.9275,0.9015,0.8849,0.8766,0.8762,0.8706,0.8735,0.8347,0.807,77.0872,67.9946,66.9694,59.5957,0.01534556967466039,0.008859768782533337,0.01580792527307471,,,
2000-01-12,0.967,1.002,0.967,1.002,195517.0,0.99,0.9745,0.9642,0.9337,0.9063,0.8894,0.8795,0.878,0.8731,0.8744,0.8369,0.8094,85.3274,71.797,69.6447,61.2138,0.01711164047272124,0.009411108280212379,0.010206406021388332,,,
2000-01-13,0.999,1.002,0.974,0.974,243000.0,0.9889,0.976,0.967,0.9377,0.9101,0.8932,0.8817,0.879,0.8747,0.8741,0.8389,0.8118,45.7982,59.1483,61.1155,57.4085,-0.028341978002275035,0.025747984583130618,0.018222070671766056,,,
2000-01-14,0.967,0.97,0.931,0.931,106138.0,0.9623,0.9724,0.9642,0.9395,0.9126,0.8959,0.8835,0.8793,0.8756,0.8733,0.8406,0.8139,22.4243,45.5936,51.0217,52.3579,-0.045152026365467945,0.03221121276455459,0.027538447007411412,,,
2000-01-17,0.995,1.045,0.985,0.988,564206.0,1.0063,0.976,0.9674,0.9448,0.9179,0.9,0.8858,0.8808,0.877,0.8728,0.8424,0.8163,61.6101,59.5114,60.4104,57.5135,0.059423420470800674,0.05615657719881066,0.041333392208273284,0.029225862173083348,,
2000-01-18,1.002,1.038,0.985,0.985,407792.0,1.022,0.976,0.9717,0.9493,0.9231,0.9036,0.8886,0.8826,0.8786,0.8724,0.8444,0.8188,58.8245,58.4599,59.6409,57.1139,-0.0030410565757789353,0.05261680458804015,0.040850864027593366,0.02926649456168191,,
