Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2008-06-19,3.78,3.8,3.62,3.64,71200.0,3.7455,3.68,3.708,3.79,3.782,3.781,3.7744,3.7157,3.5384,3.5142,3.3948,3.3562,22.486,33.8192,39.5639,48.2433,,,,,,
2008-06-20,3.66,3.68,3.62,3.66,173600.0,3.6432,3.672,3.698,3.774,3.78,3.777,3.776,3.721,3.5428,3.5185,3.3977,3.3595,39.398,38.0705,41.8915,49.052,0.005479465764625546,,,,,
2008-06-23,3.68,3.74,3.68,3.7,118900.0,3.7137,3.68,3.69,3.759,3.7793,3.774,3.7756,3.726,3.5458,3.523,3.4008,3.362,63.3723,45.8911,46.3426,50.6474,0.010869672236903938,,,,,
2008-06-24,3.7,3.72,3.7,3.72,43300.0,3.7195,3.684,3.686,3.745,3.7787,3.7745,3.7732,3.731,3.5502,3.5273,3.4042,3.3652,71.7532,49.4798,48.4681,51.434,0.005390848634876377,0.0031379315605350364,,,,
2008-06-25,3.72,3.74,3.72,3.72,53000.0,3.7279,3.688,3.688,3.738,3.778,3.773,3.7716,3.735,3.5548,3.532,3.4076,3.3684,71.7532,49.4798,48.4681,51.434,0.0,0.005434895454437662,,,,
2008-06-26,3.72,3.74,3.72,3.74,56000.0,3.7375,3.708,3.694,3.732,3.7767,3.773,3.7716,3.74,3.5596,3.5368,3.4114,3.3719,81.3531,53.392,50.7315,52.2485,0.0053619431413853835,0.0031040972596218753,0.003843276054453946,,,
2008-06-27,3.7,3.72,3.68,3.72,133200.0,3.7021,3.72,3.696,3.725,3.774,3.771,3.7704,3.7453,3.5648,3.5415,3.4151,3.3756,53.8838,49.1133,48.4402,51.3575,-0.0053619431413853835,0.0053619431413853835,0.0061609858026221665,,,
2008-06-30,3.7,3.7,3.66,3.66,72000.0,3.6617,3.712,3.696,3.716,3.77,3.7695,3.7692,3.7497,3.5682,3.5457,3.4186,3.3789,21.3871,38.6577,42.272,48.776,-0.016260520871780315,0.01081134961935762,0.00904622437292359,,,
2008-07-01,3.66,3.66,3.66,3.66,98000.0,3.66,3.7,3.692,3.707,3.7673,3.7665,3.7684,3.754,3.5706,3.5498,3.4219,3.3822,21.3871,38.6577,42.272,48.776,0.0,0.008285871205637877,0.008200983168501538,,,
2008-07-02,3.64,3.66,3.62,3.64,117400.0,3.6375,3.684,3.686,3.7,3.7627,3.762,3.7656,3.7573,3.5732,3.5518,3.4252,3.3855,14.7262,35.4719,40.2887,47.9169,-0.005479465764625546,0.008273050961916594,0.00802191605540698,,,
2008-07-03,3.64,3.66,3.62,3.64,117400.0,3.6375,3.684,3.686,3.7,3.7627,3.762,3.7656,3.7573,3.5732,3.5518,3.4252,3.3855,14.7262,35.4719,40.2887,47.9169,0.0,0.003163571034221893,0.006638459889211708,0.007667866001827065,,
2008-07-04,3.48,3.58,3.46,3.58,112300.0,3.5601,3.652,3.68,3.694,3.7533,3.7565,3.7608,3.7587,3.5758,3.5537,3.4284,3.3885,6.1321,27.7529,34.9856,45.4332,-0.01662088123604044,0.008469645573408485,0.008312213008044418,0.008984877019127762,,
2008-07-07,3.5,3.6,3.5,3.6,43500.0,3.5816,3.628,3.674,3.686,3.7407,3.7535,3.7564,3.759,3.5784,3.5548,3.4314,3.3916,27.3354,33.2037,37.919,46.3914,0.00557104504945527,0.011545358578713905,0.008406414462665771,0.008254366244895813,,
2008-07-08,3.6,3.6,3.58,3.58,82300.0,3.5812,3.612,3.662,3.676,3.7267,3.75,3.7516,3.7567,3.5810000000000004,3.556,3.4342,3.3948,20.4174,30.606,36.1619,45.5637,-0.00557104504945527,0.011095995101713371,0.008225968886769745,0.0077681766282282115,,
2008-07-09,3.58,3.58,3.48,3.48,315400.0,3.4813,3.576,3.638,3.662,3.7093,3.7435,3.7472,3.7507,3.582,3.556,3.4364,3.3973,7.0452,21.2529,28.9408,41.7144,-0.02833050662622605,0.017279344456390875,0.013572204412866537,0.01079145955520851,,
2008-07-10,3.48,3.48,3.44,3.46,394300.0,3.4582,3.54,3.612,3.65,3.696,3.7365,3.7408,3.745,3.5826,3.5532,3.4384,3.3997,5.8882,19.8856,27.7474,40.9978,-0.005763704716750029,0.013084919802540111,0.012842902258149857,0.009954313962632654,,
2008-07-11,3.44,3.44,3.38,3.38,113000.0,3.4046,3.5,3.576,3.635,3.68,3.7265,3.7336,3.739,3.583,3.549,3.4402,3.4019,2.9659,15.421,23.562,38.2768,-0.023392879574705594,0.011863308388288443,0.014001648777981143,0.011041021768184844,,
2008-07-14,3.38,3.44,3.38,3.38,156000.0,3.426,3.4560000000000004,3.542,3.619,3.664,3.716,3.7252,3.7323,3.5836,3.5458,3.4418,3.4041,2.9659,15.421,23.562,38.2768,0.0,0.012187663934151733,0.012438202775826147,0.011145502377047303,,
2008-07-15,3.34,3.34,3.14,3.28,154500.0,3.2659,3.3960000000000004,3.504,3.6,3.6453,3.7035,3.7164,3.725,3.5824,3.5418,3.4428,3.4055,1.2379,11.3793,19.3342,35.1557,-0.030032287098874955,0.015775755742372142,0.013721103046634651,0.012700419475468294,,
2008-07-16,3.24,3.24,3.16,3.18,159100.0,3.1814,3.3360000000000003,3.4560000000000004,3.574,3.6233,3.6895,3.7044,3.7163,3.5810000000000004,3.5377,3.4433,3.4063,0.6606,8.7881,16.2032,32.4209,-0.030962225603966775,0.017613737386688828,0.014279362133370225,0.013971085350363463,,
2008-07-17,3.18,3.32,3.16,3.32,24700.0,3.1836,3.3080000000000003,3.424,3.555,3.608,3.678,3.6944,3.7087,3.5812,3.5372,3.4446,3.4079,49.8122,32.8656,32.6479,39.2636,0.04308358613631147,0.04248446371095327,0.031316205914634986,0.022586713883368185,0.01708180965965414,
2008-07-18,3.32,3.32,3.18,3.2,20000.0,3.208,3.272,3.386,3.533,3.5913,3.6615,3.6824,3.6983,3.5802,3.5375,3.4452,3.4086,30.4447,26.1972,27.6408,36.0289,-0.03681397312271617,0.04453583793016165,0.0334406143969635,0.024170795989815703,0.01833978126504235,
2008-07-21,3.14,3.16,3.1,3.12,65900.0,3.1365,3.22,3.338,3.506,3.57,3.64,3.6704,3.6867,3.5774,3.5367,3.4453,3.4085,21.9215,22.7372,24.8991,34.0918,-0.02531780798428973,0.04319439104421163,0.03328545510043522,0.02375656448635155,0.01829858549959293,
2008-07-22,3.12,3.16,3.12,3.16,104300.0,3.1588,3.196,3.2960000000000003,3.479,3.5493,3.619,3.6592,3.6757,3.575,3.5347,3.4456,3.4086,35.4706,28.0803,28.7068,35.875,0.01273902577742958,0.025935767159320597,0.0342621008939073,0.02516860232662813,0.01866284575840485,
2008-07-23,3.22,3.22,3.18,3.2,27000.0,3.2007,3.2,3.268,3.4530000000000003,3.5307,3.599,3.6484,3.6673,3.5734,3.534,3.4458,3.4091,48.7984,33.2717,32.398,37.621,0.01257878220686015,0.021926011273086153,0.03226880204885205,0.02562637184676562,0.019157620159645464,
