Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.7,3.125,2.7,3.075,2176000.0,3.0558,2.71,2.7425,2.6713,2.5263,2.4341,2.3833,2.3538,2.2905,2.2657,2.156,2.0732,86.5593,74.1195,69.2214,72.8446,,,,,,
2000-01-04,3.075,3.1,3.025,3.075,724000.0,3.0645,2.795,2.765,2.7138,2.5563,2.4563,2.402,2.3683,2.3008,2.2732,2.165,2.0827,86.5593,74.1195,69.2214,72.8446,0.0,,,,,
2000-01-05,3.075,3.15,3.05,3.125,3216000.0,3.0915,2.895,2.8,2.7575,2.5875,2.48,2.4213,2.3833,2.3115,2.2814,2.174,2.0924,88.741,75.7912,70.1895,74.154,0.016129381929883557,,,,,
2000-01-06,3.15,3.375,3.15,3.375,2748000.0,3.272,3.065,2.8625,2.8138,2.6267,2.5113,2.4458,2.4031,2.3251,2.2917,2.1844,2.1035,94.9225,82.2429,74.3608,79.4814,0.07696104113612834,0.04058663486087836,,,,
2000-01-07,3.15,3.375,3.15,3.375,2748000.0,3.272,3.065,2.8625,2.8138,2.6267,2.5113,2.4458,2.4031,2.3251,2.2917,2.1844,2.1035,94.9225,82.2429,74.3608,79.4814,0.0,0.04058663486087836,,,,
2000-01-10,3.15,3.375,3.15,3.375,2748000.0,3.272,3.065,2.8625,2.8138,2.6267,2.5113,2.4458,2.4031,2.3251,2.2917,2.1844,2.1035,94.9225,82.2429,74.3608,79.4814,0.0,0.04443347781705756,0.03335413557894687,,,
2000-01-11,3.5,3.775,3.475,3.75,2548000.0,3.7077,3.28,2.9625,2.8825,2.6767,2.5516,2.477,2.4288,2.3424,2.3053,2.1969,2.1163,97.7285,87.7514,78.9347,84.6067,0.10536051565782634,0.06082992207700382,0.048495984518837854,,,
2000-01-12,3.7,3.875,3.65,3.75,2056000.0,3.7994,3.415,3.0625,2.945,2.7267,2.5919,2.508,2.454,2.3591,2.3191,2.2095,2.1289,97.7285,87.7514,78.9347,84.6067,0.0,0.06082992207700382,0.050930369373502635,,,
2000-01-13,3.8,3.85,3.675,3.75,1604000.0,3.7733,3.55,3.1725,2.9975,2.775,2.6325,2.539,2.4798,2.3746,2.333,2.2218,2.1414,97.7285,87.7514,78.9347,84.6067,0.0,0.06082992207700382,0.04711865503106613,,,
2000-01-14,3.75,3.75,3.7,3.725,528000.0,3.7235,3.67,3.2825,3.0375,2.8233,2.6709,2.5698,2.5054,2.3893,2.347,2.2333,2.1538,86.9206,85.2414,77.9089,82.8829,-0.006688988150796549,0.00386188910946854,0.04795405810265295,,,
2000-01-17,3.75,3.875,3.75,3.8,1648000.0,3.8057,3.755,3.41,3.08,2.875,2.7122,2.6018,2.5315,2.4043,2.3617,2.2451,2.1665,91.2668,86.5407,78.7653,83.94,0.019934214900817038,0.013849852146749303,0.046715868073528344,0.0383617082119366,,
2000-01-18,3.775,3.875,3.75,3.85,2536000.0,3.8644,3.775,3.5275,3.1263,2.9283,2.7541,2.635,2.559,2.4199,2.3772,2.2571,2.1794,93.445,87.3744,79.3182,84.6219,0.013072081567352845,0.013822588343114608,0.010891219620440143,0.03777847033662755,,
2000-01-19,3.875,3.875,3.8,3.875,644000.0,3.8405,3.8,3.6075,3.175,2.9833,2.7966,2.6688,2.5873,2.4361,2.3906,2.2694,2.1924,94.4779,87.7995,79.5931,84.9657,0.006472514505617477,0.006731276956847272,0.010486345294832009,0.03808096315759614,,
2000-01-20,3.85,3.875,3.85,3.875,1656000.0,3.8697,3.825,3.6875,3.2263,3.0383,2.8391,2.7025,2.6163,2.4524,2.4043,2.282,2.2051,94.4779,87.7995,79.5931,84.9657,0.0,0.006536143688895051,0.010486345294832009,0.03307764418618217,,
2000-01-21,3.875,3.875,3.75,3.85,80000.0,3.7875,3.85,3.76,3.28,3.0917,2.8806,2.736,2.6444,2.4684,2.4178,2.2945,2.2173,69.748,84.2111,78.477,82.8188,-0.006472514505617477,0.006472514505617445,0.010418205303186759,0.03343935641616616,,
2000-01-24,3.775,3.9,3.775,3.9,1144000.0,3.8588,3.87,3.8125,3.3375,3.1467,2.9231,2.7715,2.6735,2.4849,2.432,2.3074,2.2299,83.0546,85.5408,79.0838,83.7056,0.012903404835907795,0.009864224506721654,0.008459002336808349,0.033122239313618025,,
2000-01-25,3.825,3.85,3.825,3.85,572000.0,3.839,3.87,3.8225,3.3925,3.1958,2.9631,2.8058,2.7013,2.5009,2.4456,2.3196,2.2419,50.0393,78.1381,76.8426,79.2979,-0.012903404835907795,0.013433627123794143,0.01020762705982045,0.010330738016872657,,
2000-01-26,3.825,3.825,3.775,3.8,152000.0,3.8053,3.855,3.8275,3.445,3.2392,3.0019,2.839,2.7279,2.5164,2.4588,2.3312,2.2537,31.3476,71.2056,74.654,75.0425,-0.013072081567352845,0.014948499206514683,0.01083247693416075,0.011465470464757654,,
2000-01-27,3.825,3.875,3.8,3.85,1908000.0,3.858,3.85,3.8375,3.505,3.2775,3.0406,2.8735,2.7554,2.5319,2.4724,2.3426,2.2657,56.0008,73.8188,75.3794,76.406,0.013072081567352845,0.015045883222883095,0.013306662813662676,0.012029020301690656,,
2000-01-28,3.875,3.875,3.85,3.85,1656000.0,3.867,3.85,3.85,3.5663,3.3083,3.08,2.9068,2.7831,2.5473,2.4868,2.3544,2.2777,56.0008,73.8188,75.3794,76.406,0.0,0.013072081567352825,0.01298801703230433,0.011632578358202895,,
2000-01-31,3.85,3.875,3.825,3.85,792000.0,3.8516,3.84,3.855,3.6325,3.3383,3.12,2.9408,2.8106,2.5623,2.5011,2.3653,2.2896,56.0008,73.8188,75.3794,76.406,0.0,0.007547169811779886,0.010896753164297555,0.010068281430257087,0.02913624516723073,
2000-02-01,3.85,3.875,3.825,3.85,792000.0,3.8516,3.84,3.855,3.6325,3.3383,3.12,2.9408,2.8106,2.5623,2.5011,2.3653,2.2896,56.0008,73.8188,75.3794,76.406,0.0,0.0,0.009243357520498872,0.009180542429971503,0.02913624516723073,
2000-02-02,3.85,4.025,3.85,4.025,2756000.0,3.9579,3.875,3.8725,3.7,3.375,3.1644,2.9778,2.8413,2.58,2.5171,2.377,2.3024,91.6062,81.972,77.8372,80.9546,0.04445176257083405,0.025664237086224367,0.019268108257366925,0.016827109928937798,0.03006010825131935,
2000-02-03,4.075,4.4,4.075,4.4,1924000.0,4.1862,3.995,3.925,3.7663,3.425,3.2188,3.0223,2.8781,2.6023,2.5365,2.3908,2.3171,97.6691,89.7026,81.8529,86.8188,0.08907963005368869,0.044539844039210325,0.039827795328473026,0.03164629454353138,0.03151166663971709,
2000-02-04,4.075,4.4,4.075,4.4,1924000.0,4.1862,3.995,3.925,3.7663,3.425,3.2188,3.0223,2.8781,2.6023,2.5365,2.3908,2.3171,97.6691,89.7026,81.8529,86.8188,0.0,0.044539844039210325,0.039827795328473026,0.03127446731095707,0.03151166663971709,
2000-02-07,4.075,4.4,4.075,4.4,1924000.0,4.1862,3.995,3.925,3.7663,3.425,3.2188,3.0223,2.8781,2.6023,2.5365,2.3908,2.3171,97.6691,89.7026,81.8529,86.8188,0.0,0.05143014839080944,0.039827795328473026,0.03155996942634978,0.03151166663971709,
2000-02-08,4.4,4.725,4.4,4.625,1040000.0,4.5513,4.15,4.0,3.8438,3.4842,3.2788,3.0713,2.9188,2.627,2.5579,2.406,2.3329,98.5874,92.0141,83.6875,89.0061,0.04987183004017304,0.02879351449867317,0.03765299025626169,0.032277311505726256,0.024677648205799985,
2000-02-09,4.675,4.675,4.45,4.5,412000.0,4.5663,4.28,4.065,3.9125,3.5417,3.335,3.1175,2.9575,2.6501,2.5783,2.4202,2.3479,74.2204,80.6932,79.0922,80.9676,-0.027398974188114433,0.03917626918642457,0.04659477515309124,0.03409340386295614,0.026014693658895815,
2000-02-10,4.5,4.5,4.3,4.3,84000.0,4.3833,4.37,4.105,3.9588,3.5933,3.3863,3.1595,2.9938,2.6713,2.5974,2.4333,2.3618,46.5861,66.0627,72.5027,70.0643,-0.04546237407675746,0.05063871061456167,0.03605213962156457,0.03943196639133321,0.028700710244962235,
2000-02-11,4.3,4.3,4.225,4.25,1388000.0,4.2368,4.415,4.145,3.9838,3.6433,3.4331,3.1995,3.029,2.6915,2.6159,2.446,2.3756,40.8785,62.8574,70.9735,67.613,-0.011696039763191335,0.016896912430312896,0.03605866897976057,0.039966121492818606,0.028846428181025372,
2000-02-14,4.225,4.35,4.225,4.275,1064000.0,4.3256,4.39,4.1925,4.01,3.6942,3.4775,3.24,3.0646,2.7121,2.6343,2.4589,2.3896,45.8539,63.8442,71.2868,68.2118,0.005865119452398204,0.026086622491091463,0.03643420134869617,0.03984780621687316,0.028674989752817178,
2000-02-15,4.3,4.4,4.125,4.125,772000.0,4.3069,4.29,4.22,4.0288,3.7433,3.5131,3.2765,3.0979,2.7315,2.6503,2.471,2.4025,26.092,54.1361,66.8114,60.9318,-0.035718082602079315,0.02087508701878931,0.020288937558649085,0.042409180251539676,0.0300730594386803,
2000-02-16,4.125,4.25,4.1,4.25,716000.0,4.1785,4.24,4.26,4.055,3.7975,3.5463,3.316,3.1323,2.752,2.6669,2.4837,2.4154,51.9678,59.8585,68.5154,64.3467,0.02985296314968111,0.033176651878814405,0.030625105747056167,0.04120708874243502,0.03064572988459855,
2000-02-17,4.25,4.5,4.25,4.375,952000.0,4.3892,4.255,4.3125,4.0838,3.8592,3.5819,3.3585,3.1694,2.7738,2.6842,2.4974,2.4289,68.5069,64.7994,70.1032,67.4141,0.028987536873252395,0.037610123183583206,0.027922463740843815,0.030695528140188624,0.031097935597394957,
2000-02-18,4.375,4.525,4.375,4.525,664000.0,4.5044,4.31,4.3625,4.1175,3.9208,3.6219,3.404,3.2085,2.7965,2.7028,2.5117,2.4431,80.5574,69.8152,71.8647,70.6745,0.033711057342311834,0.0025148061244281363,0.02911988323109009,0.03255960029439283,0.03154002058293504,
2000-02-21,4.425,4.6,4.425,4.6,1692000.0,4.5316,4.375,4.3825,4.1538,3.9717,3.6644,3.4515,3.249,2.8208,2.7224,2.5265,2.4579,84.8928,72.055,72.6968,72.1737,0.01643872634315957,0.008926717477009375,0.028897067963255845,0.03281642029036487,0.031578376064222334,
2000-02-22,4.6,4.6,4.375,4.55,404000.0,4.4718,4.46,4.375,4.1875,4.0208,3.7069,3.498,3.2885,2.8445,2.7416,2.5407,2.4726,69.4143,68.2563,71.2437,69.6185,-0.010929070532190055,0.022509519247815104,0.018264638584541484,0.02885859896004923,0.0315117709229911,
