Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,4.113,4.169,4.085,4.141,2601000.0,4.1671,4.0461,4.007,3.8069,3.6469,3.5243,3.4658,3.418,3.2727,3.2997,3.3934,3.2848,93.4237,85.3387,83.0348,72.8034,,,,,,
2000-01-04,4.141,4.197,4.141,4.197,1727000.0,4.1723,4.1021,4.0294,3.8517,3.6777,3.5488,3.4843,3.4366,3.2831,3.3046,3.4021,3.295,95.989,87.2351,84.4368,73.8215,0.01343267978802376,,,,,
2000-01-05,4.057,4.141,4.001,4.057,1945000.0,4.0895,4.1077,4.035,3.8894,3.701,3.5719,3.5005,3.4506,3.2918,3.3084,3.4091,3.3044,38.9754,63.9656,69.0693,67.3051,-0.033926200127143646,,,,,
2000-01-06,4.057,4.141,4.057,4.113,1240000.0,4.0949,4.1245,4.0461,3.9272,3.729,3.597,3.5179,3.4655,3.2993,3.3119,3.4156,3.314,55.0091,67.8274,71.3179,68.4572,0.013708905023976925,0.027422749223830378,,,,
2000-01-07,4.057,4.141,4.057,4.113,1240000.0,4.0949,4.1245,4.0461,3.9272,3.729,3.597,3.5179,3.4655,3.2993,3.3119,3.4156,3.314,55.0091,67.8274,71.3179,68.4572,0.0,0.024522181709565643,,,,
2000-01-10,4.057,4.141,4.057,4.113,1240000.0,4.0949,4.1245,4.0461,3.9272,3.729,3.597,3.5179,3.4655,3.2993,3.3119,3.4156,3.314,55.0091,67.8274,71.3179,68.4572,0.0,0.007914840005888078,0.019430335929392143,,,
2000-01-11,4.169,4.337,4.169,4.253,4644000.0,4.254,4.1525,4.0769,3.9706,3.7598,3.6257,3.5397,3.4828,3.3091,3.317,3.4229,3.3245,77.3377,75.2788,76.013,71.0918,0.033471927023209336,0.01932502607714541,0.02461784909980617,,,
2000-01-12,4.253,4.365,4.253,4.281,4868000.0,4.2969,4.1805,4.1133,4.0098,3.7924,3.6551,3.5615,3.501,3.3197,3.3226,3.4296,3.3353,80.2746,76.5033,76.8299,71.5829,0.006562010891312475,0.017736842408813337,0.01390777955964526,,,
2000-01-13,4.309,4.421,4.309,4.393,5075000.0,4.3816,4.2196,4.1609,4.0406,3.827,3.6866,3.5822,3.5215,3.3315,3.3289,3.4365,3.3467,88.9031,80.7859,79.7941,73.4492,0.02582573783083353,0.013866620418543196,0.01551530890954988,,,
2000-01-14,4.393,4.673,4.393,4.645,9615000.0,4.5582,4.3372,4.2224,4.0825,3.8699,3.7223,3.6096,3.5462,3.3455,3.3375,3.4445,3.3594,95.5188,86.8518,84.5756,76.9698,0.05577900727215912,0.02480121723685267,0.022262650511070157,,,
2000-01-17,4.701,5.037,4.701,4.953,7634000.0,4.9579,4.505,4.3148,4.1371,3.923,3.767,3.6449,3.577,3.3626,3.3496,3.4548,3.3733,97.859,90.8317,88.2389,80.2765,0.06420208134029903,0.02016965653375763,0.02321769573712248,0.02862953232066022,,
2000-01-18,4.953,4.953,4.701,4.701,3472000.0,4.8076,4.5946,4.3735,4.1777,3.9669,3.8055,3.6757,3.6017,3.3768,3.3601,3.464,3.3861,59.6374,71.0391,72.9691,71.5779,-0.05221820156410728,0.0649204995420341,0.04654015531689112,0.03627547343040859,,
2000-01-19,4.701,4.785,4.421,4.421,4649000.0,4.4955,4.6226,4.4015,4.2042,4.0051,3.8356,3.6997,3.6218,3.3889,3.3683,3.4714,3.397,36.1228,55.8316,60.4514,63.6503,-0.061409337197887215,0.07001950646421794,0.05956282312344529,0.040839963562927344,,
2000-01-20,4.449,4.561,4.421,4.449,3180000.0,4.5072,4.6338,4.4267,4.228,4.0433,3.865,3.7244,3.6413,3.4012,3.3769,3.4787,3.408,39.6898,56.8703,61.1688,64.0621,0.006313436979798581,0.036735096359373665,0.058606358754391547,0.04080395760139859,,
2000-01-21,4.449,4.561,4.449,4.477,4632000.0,4.4845,4.6002,4.4687,4.2518,4.0825,3.8929,3.7512,3.6619,3.4138,3.3865,3.4854,3.4188,44.351,57.9819,61.9128,64.4783,0.006273827434923884,0.03908833262827088,0.05105772327101263,0.040717944279365335,,
2000-01-24,4.477,4.617,4.477,4.617,2428000.0,4.5588,4.533,4.519,4.2826,4.1245,3.9265,3.7814,3.6847,3.4283,3.3967,3.492,3.4297,64.7716,63.3024,65.4748,66.4861,0.030791964266023264,0.014144132474203996,0.040429715916515056,0.04116721282017251,,
