Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2001-12-31,9.019,9.133,9.019,9.095,35200.0,9.0932,8.9814,9.0042,9.0705,9.0673,8.8829,8.8079,8.7572,8.9659,9.0329,8.6258,8.5998,80.7339,55.411,54.1891,52.4113,,,,,,
2002-01-01,9.019,9.133,9.019,9.095,35200.0,9.0932,8.9814,9.0042,9.0705,9.0673,8.8829,8.8079,8.7572,8.9659,9.0329,8.6258,8.5998,80.7339,55.411,54.1891,52.4113,0.0,,,,,
2002-01-02,9.057,9.171,9.019,9.171,11200.0,9.1073,9.0421,8.988999999999999,9.0743,9.0913,8.9037,8.8185,8.773,8.9549,9.0399,8.6355,8.5831,88.0458,59.9379,56.8067,53.3843,0.008321519606721228,,,,,
2002-01-03,9.247,9.436,9.247,9.36,22600.0,9.3466,9.1254,9.0231,9.0875,9.1229,8.9303,8.8321,8.7894,8.9477,9.0452,8.6458,8.5839,95.0668,68.8364,62.5656,55.7255,0.020398958912693832,0.010256946861162512,,,,
2002-01-04,9.398,9.777,9.398,9.777,135200.0,9.6076,9.2922,9.0951,9.1179,9.1532,8.9634,8.8511,8.809,8.9473,9.0579,8.658,8.5896,98.321,79.8911,71.5519,60.2671,0.04358739803403333,0.01792228794138496,,,,
2002-01-07,9.853,9.853,9.474,9.664,52800.0,9.7445,9.4134,9.1709,9.1444,9.1709,8.9985,8.8693,8.8223,8.9477,9.0705,8.67,8.5949,77.4268,72.0494,66.8393,58.572,-0.011625047331075056,0.027723800869710293,0.021118043550643246,,,
2002-01-08,9.55,9.55,9.398,9.398,27200.0,9.4771,9.4741,9.2278,9.1614,9.181,9.026,8.8859,8.8393,8.945,9.0822,8.6787,8.6008,44.4016,57.2886,57.3483,54.8483,-0.02791074051183484,0.03747359457248327,0.02776947821954215,,,
2002-01-09,9.55,9.55,9.398,9.436,36400.0,9.4387,9.5271,9.2846,9.1785,9.1949,9.0544,8.9117,8.8583,8.9473,9.0945,8.6884,8.6078,49.0577,58.6501,58.2601,55.2686,0.004035260864804435,0.015974020883526344,0.027767448487007743,,,
2002-01-10,9.474,9.626,9.398,9.474,71200.0,9.4748,9.5499,9.3377,9.1955,9.2,9.0847,8.9337,8.8728,8.9526,9.1018,8.6997,8.6165,54.7429,60.0816,59.1995,55.6952,0.0040190429561315355,0.018439352570377023,0.026538358250194866,,,
2002-01-11,9.474,9.55,9.057,9.171,62600.0,9.245,9.4286,9.3604,9.1993,9.1848,9.1036,8.9504,8.8867,8.9579,9.1081,8.7088,8.6216,23.4024,45.8088,49.5853,51.6209,-0.032504872924753236,0.021091775931443367,0.017206853189140413,,,
