Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2007-01-12,5.791,5.834,5.791,5.813,2211017.0,5.8116,5.7093,5.6576,5.396,5.2048,5.0392,4.852,4.6906,3.9969,3.7766,3.3012,3.1448,82.863,78.2199,78.0569,77.2208,,,,,,
2007-01-15,5.813,5.856,5.813,5.834,2150027.0,5.8327,5.7609,5.6942,5.4412,5.2407,5.0763,4.8886,4.7276,4.0283,3.8033,3.3233,3.1691,85.4203,79.0007,78.5547,77.4701,0.00360608272631624,,,,,
2007-01-16,5.877000000000001,5.877000000000001,5.834,5.856,2886135.0,5.8679,5.7997,5.72,5.4875,5.2801,5.114,4.9239,4.7635,4.0596,3.8302,3.3455,3.1921,88.0869,79.8148,79.0661,77.7224,0.0037639052134808004,,,,,
2007-01-17,5.899,5.942,5.877000000000001,5.92,1779813.0,5.9004,5.8427,5.7459,5.5327,5.3203,5.1528,4.9596,4.7983,4.0914,3.8578,3.3680000000000003,3.2153,93.4652,82.1503,80.5636,78.4704,0.010869672236903938,0.004148826450675382,,,,
2007-01-18,5.962999999999999,5.985,5.92,5.985,1856318.0,5.9407,5.8815,5.7846,5.5758,5.3626,5.1915,4.9988,4.8334,4.1239,3.886,3.3908,3.2384,96.1038,84.2061,81.9539,79.1932,0.010919890114022168,0.004117089722994589,,,,
2007-01-19,6.006,6.028,5.92,5.92,2003056.0,5.9652,5.903,5.8061,5.6178,5.4043,5.2286,5.0367,4.8686,4.156000000000001,3.9136,3.4126,3.2601,59.8534,74.547,76.0924,76.5352,-0.010919890114022168,0.012594731369964156,0.008906059021182664,,,
2007-01-22,5.962999999999999,5.962999999999999,5.877000000000001,5.962999999999999,2857753.0,5.9117,5.9288,5.8449,5.6587,5.438,5.2636,5.075,4.9055,4.1887,3.9416,3.434,3.281,70.8491,76.5633,77.2601,77.0661,0.007237261245054416,0.011692019367017314,0.009048701432791465,,,
2007-01-23,5.962999999999999,5.985,5.899,5.899,1233969.0,5.9508,5.9375,5.8686,5.6931,5.4717,5.2927,5.1108,4.9385,4.2208,3.9691,3.4549,3.3018,43.8355,67.5353,71.6103,74.4525,-0.01079086512003058,0.010445989127897879,0.011344090133798055,,,
2007-01-24,5.92,6.071000000000001,5.92,6.071000000000001,2770240.0,5.9526,5.9676,5.9052,5.7319,5.509,5.3282,5.1482,4.9726,4.2544,3.9979,3.4767,3.323,77.7578,76.0186,76.5376,76.6381,0.02874049112735899,0.019791119062030217,0.0166316617699604,,,
2007-01-25,6.0920000000000005,6.114,6.006,6.028,1576637.0,6.0542,5.9762,5.9288,5.7695,5.5449,5.36,5.1848,5.0031,4.2871,4.0263,3.4979,3.3438,63.3985,70.8143,73.1208,74.9791,-0.007108055384048129,0.021838076461729226,0.016987899462899664,,,
2007-01-26,6.006,6.0920000000000005,5.985,6.0920000000000005,2540726.0,6.0091,6.0106,5.9568,5.8072,5.582999999999999,5.3928,5.2227,5.0361,4.3207,4.055,3.5194,3.3644,74.1424,73.8369,74.9288,75.7923,0.010561154268666328,0.017924878174174194,0.015754754998518722,0.012114901051627878,,
2007-01-29,6.071000000000001,6.178999999999999,6.071000000000001,6.136,1460045.0,6.1026,6.0451,5.987,5.8406,5.6231,5.4272,5.2585,5.0717,4.3551,4.0839,3.5414,3.3852,80.0101,75.7226,76.0837,76.3229,0.00719662903203977,0.009382119483920306,0.015753792333599144,0.01213246871350664,,
2007-01-30,6.157,6.178999999999999,6.136,6.136,1649890.0,6.1564,6.0925,6.015,5.8675,5.6633,5.4638,5.2942,5.1057,4.3896,4.1126,3.5634,3.4059,80.0101,75.7226,76.0837,76.3229,0.0,0.005395205880830115,0.013505108840997319,0.012234652505083937,,
2007-01-31,6.157,6.157,6.114,6.136,1674463.0,6.1554,6.1054,6.0365,5.8912,5.7006,5.4994,5.3295,5.1391,4.424,4.1411,3.5859,3.4263,80.0101,75.7226,76.0837,76.3229,0.0,0.004154975708906025,0.006913222101782451,0.012104875750387932,,
2007-02-01,6.157,6.157,6.114,6.136,1674463.0,6.1554,6.1054,6.0365,5.8912,5.7006,5.4994,5.3295,5.1391,4.424,4.1411,3.5859,3.4263,80.0101,75.7226,76.0837,76.3229,0.0,0.0,0.005006537609975566,0.011859595890713713,,
2007-02-02,6.136,6.2860000000000005,6.0920000000000005,6.222,2605896.0,6.136,6.1441,6.0602,5.9224,5.7372,5.537000000000001,5.3652,5.1757,4.4595,4.1702,3.6087,3.4472,92.1043,79.8568,78.5518,77.4189,0.013918334410490285,0.008035754118567792,0.006251863041349345,0.011327719113650141,,
2007-02-05,6.222,6.265,6.136,6.222,991866.0,6.2286,6.17,6.0903,5.9482,5.7753,5.5758,5.401,5.2123,4.4953,4.1991,3.6313,3.4683,92.1043,79.8568,78.5518,77.4189,0.0,0.008035754118567792,0.006224468375086148,0.011398134112242646,,
2007-02-06,6.222,6.222,6.157,6.2,1827425.0,6.2153,6.1829,6.114,5.9794,5.8104,5.607,5.4337,5.2482,4.5304,4.2278,3.6538,3.4904,68.7181,75.774,76.2697,76.4719,-0.0035421064243994493,0.009229784620389706,0.006795831980709626,0.010532839419748235,,
2007-02-07,6.178999999999999,6.222,6.136,6.222,1848328.0,6.1610000000000005,6.2001,6.1463,6.0074,5.8442,5.6404,5.4634,5.2834,4.5655,4.2563,3.6763,3.5125,77.3462,77.0916,76.9896,76.7659,0.0035421064243994493,0.0035421064243994346,0.006709490704467331,0.0064317614678059505,,
2007-02-08,6.2,6.265,6.2,6.2,2106549.0,6.2277,6.212999999999999,6.1592,6.0322,5.8743,5.6716,5.4944,5.3167,4.6006,4.2848,3.6986,3.5346,54.7109,72.6465,74.5539,75.7862,-0.0035421064243994493,0.004090072195250637,0.0072426922667556196,0.005921118290870764,,
2007-02-09,6.178999999999999,6.222,6.157,6.222,1259424.0,6.1867,6.212999999999999,6.1786,6.0537,5.9059,5.7033,5.5237,5.3505,4.6361,4.3141,3.7214,3.5568,68.5268,74.3128,75.3923,76.1017,0.0035421064243994493,0.004090072195250637,0.0035421064243994506,0.005282186055835692,0.009191648948181159,
2007-02-12,6.242999999999999,6.242999999999999,6.178999999999999,6.2,1981782.0,6.192,6.2087,6.1893,6.0731,5.9346,5.7345,5.5521,5.3838,4.6712,4.3429,3.7439,3.5783,47.0138,69.5467,72.8089,75.0895,-0.0035421064243994493,0.004090072195250637,0.0038801831794550924,0.005224791454096134,0.00932126455563914,
2007-02-13,6.222,6.242999999999999,6.178999999999999,6.242999999999999,1832489.0,6.2133,6.2173,6.2001,6.0935,5.9604,5.7674,5.5818,5.4154,4.705,4.3725,3.7663,3.6003,72.7129,73.3871,74.6778,75.7567,0.006911544028560979,0.005335697224794905,0.004701106900881881,0.005521024030485414,0.009360578892297468,
2007-02-14,6.265,6.351,6.242999999999999,6.2860000000000005,2234521.0,6.2524,6.2302,6.2152,6.1151,5.9834,5.8013,5.6141,5.4477,4.7386,4.4021,3.7891,3.6224,84.2045,76.6936,76.4229,76.4102,0.006864102295768948,0.006021769375059103,0.0052815676454566795,0.005705812438849614,0.009229772966140899,
2007-02-15,6.308,6.351,6.2860000000000005,6.329,1379964.0,6.3088,6.2561,6.2345,6.1355,6.0056,5.8341,5.6464,5.4803,4.7721,4.4321,3.8121,3.6447,90.3197,79.5517,78.0519,77.0502,0.0068173074177924065,4.711867539115968e-05,0.004517745806613917,0.005791800931717499,0.009088993824523037,
2007-02-16,6.329,6.351,6.308,6.308,1783204.0,6.329,6.2733,6.2431,6.1517,6.0293,5.8637,5.6783,5.5116,4.8057,4.4619,3.8346,3.6669,69.9958,74.4183,75.2523,75.9839,-0.0033235766923764842,0.005868397331781766,0.005640614102245103,0.004670188877586844,0.008633016923331719,
2007-02-19,6.329,6.351,6.308,6.308,1783204.0,6.329,6.2733,6.2431,6.1517,6.0293,5.8637,5.6783,5.5116,4.8057,4.4619,3.8346,3.6669,69.9958,74.4183,75.2523,75.9839,0.0,0.005169773898902976,0.004815623191941397,0.004670188877586844,0.008605376337011517,
2007-02-20,6.329,6.351,6.308,6.308,1783204.0,6.329,6.2733,6.2431,6.1517,6.0293,5.8637,5.6783,5.5116,4.8057,4.4619,3.8346,3.6669,69.9958,74.4183,75.2523,75.9839,0.0,0.0019188678980159033,0.004560175484743615,0.00438140156371568,0.00802640199593953,
2007-02-21,6.329,6.631,6.308,6.587999999999999,2593866.0,6.357,6.3508,6.2797,6.185,6.0587,5.9014,5.7166,5.5474,4.8417,4.4942,3.8582,3.6898,94.4312,86.839,83.5253,79.7522,0.04343114321460195,0.02507498222616362,0.01938683370569281,0.013942750051817112,0.010699279517952272,
2007-02-22,6.674,6.932,6.631,6.846,2338339.0,6.7343,6.4713,6.3443,6.2292,6.1011,5.9439,5.7545,5.5855,4.8804,4.5288,3.8833,3.7135,97.3826,91.2505,87.6345,82.3907,0.03841472779259991,0.023759629402247674,0.023129264652405782,0.01685583476971581,0.012823756874310338,
2007-02-23,6.888999999999999,6.975,6.7170000000000005,6.76,1410900.0,6.8917,6.5661,6.3982,6.2722,6.1377,5.9827,5.7919,5.6192,4.9181,4.5627,3.9077,3.7366,76.9825,81.0612,80.4328,78.8477,-0.012641650053121012,0.03102707497024687,0.025317592642272187,0.01825424547386051,0.013457799272033938,
