Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,6.41,6.859,6.41,6.667,1318200.0,6.6547,6.3744,6.3744,5.8756,5.5795,5.2577,5.0087,4.8585,4.3931,4.1355,3.5207,3.3367,86.1566,80.199,81.2478,78.7459,,,,,,
2000-01-04,6.667,7.051,6.667,6.731,865800.0,6.8682,6.4385,6.409,5.9609,5.6329,5.3279,5.0613,4.9032,4.434,4.1681,3.5483,3.3621,88.2832,81.3517,81.9566,79.2098,0.009553737392653083,,,,,
2000-01-05,6.667,6.731,6.231,6.731,713700.0,6.5586,6.5333,6.441,6.0423,5.6872,5.3981,5.1149,4.9474,4.4736,4.2009,3.576,3.3876,88.2832,81.3517,81.9566,79.2098,0.0,,,,,
2000-01-06,6.795,6.795,6.538,6.731,3568500.0,6.7079,6.6231,6.4756,6.1224,5.7432,5.4676,5.1685,4.9904,4.5122,4.2317,3.6027,3.413,88.2832,81.3517,81.9566,79.2098,0.0,0.0055158528554152516,,,,
2000-01-07,6.795,6.795,6.538,6.731,3568500.0,6.7079,6.6231,6.4756,6.1224,5.7432,5.4676,5.1685,4.9904,4.5122,4.2317,3.6027,3.413,88.2832,81.3517,81.9566,79.2098,0.0,5.820766091346741e-11,,,,
2000-01-10,6.795,6.795,6.538,6.731,3568500.0,6.7079,6.6231,6.4756,6.1224,5.7432,5.4676,5.1685,4.9904,4.5122,4.2317,3.6027,3.413,88.2832,81.3517,81.9566,79.2098,0.0,5.820766091346741e-11,0.004272561249830779,,,
2000-01-11,6.923,6.923,6.474,6.538,3385200.0,6.6003,6.6795,6.5013,6.1968,5.7944,5.5311,5.2192,5.0301,4.5471,4.2621,3.6278,3.4378,34.5481,65.1514,71.7891,73.8553,-0.02909241272655727,0.016796512319053537,0.013010522497212412,,,
2000-01-12,6.538,6.795,6.41,6.41,2655900.0,6.681,6.6282,6.5013,6.2647,5.8415,5.5862,5.2659,5.0677,4.5794,4.2913,3.6521,3.4617,21.4762,56.6852,65.918,70.5655,-0.01977203736944011,0.014855814444118305,0.013781827195205685,,,
2000-01-13,6.474,6.538,6.359,6.359,2219100.0,6.5114,6.5538,6.4962,6.3173,5.8876,5.6394,5.3126,5.1045,4.6106,4.3204,3.6757,3.4854,17.5027,53.5537,63.6747,69.2884,-0.007988138647307963,0.010576074021922458,0.012793249486315241,,,
2000-01-14,6.282,7.115,6.282,7.051,2886000.0,6.9304,6.6179,6.5756,6.4019,5.9568,5.701,5.3741,5.1532,4.6488,4.3546,3.7026,3.5126,82.6197,74.7442,75.6982,75.4847,0.10329831845163273,0.06790906699974276,0.05371269340748663,,,
