Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2012-03-30,1.42,1.42,1.39,1.4,2770800.0,1.4049,1.444,1.4580000000000002,1.474,1.4767,1.4773,1.486,1.4708,1.4567,1.455,1.5583,1.6413,7.909,24.3638,32.8009,43.2944,,,,,,
2012-04-02,1.41,1.5,1.4,1.5,2108900.0,1.4718,1.4480000000000002,1.46,1.4735,1.4783,1.4775,1.4844,1.473,1.4559,1.4576,1.5544,1.6358,73.903,58.8242,55.5514,52.3382,0.06899287148695149,,,,,
2012-04-03,1.49,1.51,1.49,1.5,2013100.0,1.4996,1.454,1.463,1.474,1.4807,1.4775,1.484,1.4745,1.455,1.46,1.5512,1.6303,73.903,58.8242,55.5514,52.3382,0.0,,,,,
2012-04-04,1.5,1.5,1.45,1.46,1488800.0,1.4875,1.456,1.461,1.472,1.4813,1.4768,1.4834,1.4758,1.454,1.4611,1.547,1.625,44.927,47.7992,48.011,48.9934,-0.02702867238791934,0.04951548972322065,,,,
2012-04-05,1.46,1.47,1.44,1.47,1171800.0,1.4522,1.466,1.461,1.47,1.48,1.476,1.4828,1.4775,1.4528,1.4626,1.5428,1.6197,51.9865,50.4131,49.8439,49.8227,0.006825965070399842,0.01790381434047886,,,,
2012-04-06,1.47,1.51,1.47,1.5,777600.0,1.4909,1.486,1.465,1.47,1.48,1.4758,1.4824,1.4797,1.4522,1.4648,1.539,1.615,69.5505,57.5816,54.9728,52.233,0.020202707317519497,0.024344324935733457,0.03533166202560088,,,
2012-04-09,1.5,1.5,1.48,1.48,812100.0,1.4875,1.482,1.465,1.47,1.479,1.4755,1.481,1.4815,1.4513,1.467,1.5353,1.6098,50.9224,51.9491,51.2129,50.5581,-0.013423020332140712,0.01692950187762622,0.01823070413493948,,,
2012-04-10,1.48,1.51,1.48,1.5,1339200.0,1.4986,1.482,1.4680000000000002,1.471,1.4793,1.4763,1.48,1.4832,1.4509999999999998,1.4691,1.5316,1.6048,64.9884,56.7127,54.5599,52.1455,0.013423020332140712,0.01778278013011974,0.019657360344329508,,,
2012-04-11,1.48,1.51,1.48,1.5,1339200.0,1.4986,1.482,1.4680000000000002,1.471,1.4793,1.4763,1.48,1.4832,1.4509999999999998,1.4691,1.5316,1.6048,64.9884,56.7127,54.5599,52.1455,0.0,0.013423020332140705,0.01293240412262068,,,
2012-04-12,1.5,1.52,1.5,1.51,376900.0,1.507,1.492,1.474,1.473,1.4793,1.4773,1.4798,1.4842,1.4507,1.471,1.5281,1.6,71.1829,58.9991,56.1786,52.9272,0.0066445427186686,0.006711621532009687,0.012927676837608652,,,
2012-04-13,1.51,1.52,1.51,1.51,805800.0,1.5109,1.5,1.483,1.4745,1.48,1.4793,1.4798,1.4857,1.45,1.4711,1.5247,1.5953,71.1829,58.9991,56.1786,52.9272,0.0,0.0038362285272652602,0.009945789410930325,0.025337086748285352,,
2012-04-16,1.51,1.52,1.51,1.51,518000.0,1.5108,1.5019999999999998,1.494,1.476,1.4807,1.481,1.4806,1.4873,1.4491,1.4713,1.5216,1.5909,71.1829,58.9991,56.1786,52.9272,0.0,0.0038362285272652602,0.005995540121991367,0.013272286146425836,,
2012-04-17,1.52,1.56,1.52,1.56,3362800.0,1.5458,1.518,1.5,1.48,1.4823,1.4838,1.482,1.487,1.4487,1.4718,1.5186,1.5871,92.7697,70.2033,64.1533,56.8306,0.03257617043461275,0.018807860769590797,0.014121826723858656,0.01665725619971744,,
2012-04-18,1.56,1.56,1.53,1.54,2048600.0,1.5426,1.526,1.504,1.4835,1.484,1.4865,1.4828,1.4873,1.4485,1.4728,1.5155,1.5834,64.003,62.5157,59.4898,54.9453,-0.012903404835907906,0.023438204223486712,0.016832517199383328,0.01415145634640295,,
2012-04-19,1.54,1.57,1.54,1.56,2428200.0,1.558,1.536,1.514,1.4875,1.486,1.4895,1.4842,1.4885,1.449,1.4733,1.5121,1.5798,75.4309,66.627,62.4309,56.4402,0.012903404835907906,0.022808627382805043,0.01718983141908766,0.014351703667471892,,
2012-04-20,1.57,1.57,1.55,1.56,1110000.0,1.5549,1.546,1.523,1.492,1.4877,1.4908,1.4854,1.4895,1.4503,1.4721,1.5082,1.5759999999999998,75.4309,66.627,62.4309,56.4402,0.0,0.012903404835907899,0.01718983141908766,0.013519044412698952,,
2012-04-23,1.57,1.57,1.53,1.55,1732200.0,1.5493,1.554,1.528,1.4965,1.4893,1.492,1.4862,1.49,1.4516,1.4718,1.5046,1.5723,55.5803,62.3027,59.9087,55.4557,-0.0064308903302904286,0.009846058233063235,0.01801973785184685,0.012676854143906959,,
2012-04-24,1.54,1.57,1.54,1.56,1260300.0,1.5587,1.554,1.536,1.5005,1.492,1.4933,1.4876,1.4902,1.4534,1.4713,1.5012,1.5689,68.1521,64.8679,61.5803,56.2453,0.0064308903302904286,0.006430890330290415,0.01019446435080221,0.012325397481528676,,
2012-04-25,1.57,1.57,1.56,1.57,1323200.0,1.5626,1.56,1.543,1.5055,1.495,1.4953,1.4896,1.4905,1.4549,1.4708,1.4977,1.5655,77.6433,67.3662,63.2312,57.0331,0.0063897980987709935,0.0074139186908527156,0.007341568992509264,0.012264958612060244,,
2012-04-26,1.56,1.56,1.55,1.56,1193700.0,1.5598,1.56,1.548,1.511,1.4980000000000002,1.4965,1.4914,1.4912,1.4565,1.4698,1.4942,1.5619,53.6572,62.3762,60.4345,55.9902,-0.0063897980987709935,0.0073901941713190615,0.006410377141139207,0.012703689950612634,,
