Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,2.1,2.1,2.05,2.09,130000.0,2.0892,2.068,2.038,2.012,1.989,1.961,1.9454,1.9355,1.9223,1.9114,1.9721,1.9626,79.0418,79.2474,78.0429,69.5376,,,,,,
2000-01-04,2.08,2.08,2.0,2.01,50000.0,2.0236,2.062,2.038,2.013,1.9923,1.9648,1.9478,1.9382,1.9248,1.9121,1.9722,1.9636,23.8334,46.5378,53.2192,56.9689,-0.039029343905735314,,,,,
2000-01-05,1.98,1.98,1.95,1.98,94000.0,1.97,2.048,2.037,2.0125,1.9953,1.9675,1.9496,1.9403,1.9265,1.9123,1.9722,1.9644,17.1108,39.636,47.1612,53.2362,-0.01503787736454043,,,,,
2000-01-06,1.96,1.99,1.95,1.98,92000.0,1.9589,2.032,2.035,2.0125,1.9973,1.9708,1.9512,1.9422,1.9277,1.9127,1.9719,1.9654,17.1108,39.636,47.1612,53.2362,0.0,0.019685095496087004,,,,
2000-01-07,1.96,1.99,1.95,1.98,92000.0,1.9589,2.032,2.035,2.0125,1.9973,1.9708,1.9512,1.9422,1.9277,1.9127,1.9719,1.9654,17.1108,39.636,47.1612,53.2362,0.0,0.008682122544458002,,,,
2000-01-10,1.96,1.99,1.95,1.98,92000.0,1.9589,2.032,2.035,2.0125,1.9973,1.9708,1.9512,1.9422,1.9277,1.9127,1.9719,1.9654,17.1108,39.636,47.1612,53.2362,0.0,3.4924596548080444e-10,0.017064396840830064,,,
2000-01-11,1.97,1.98,1.97,1.98,96000.0,1.9765,2.008,2.031,2.013,1.9983,1.9738,1.953,1.9427,1.9284,1.9129,1.9716,1.9663,17.1108,39.636,47.1612,53.2362,0.0,3.4924596548080444e-10,0.006725143204883563,,,
2000-01-12,1.98,1.98,1.97,1.98,46000.0,1.9761,1.986,2.027,2.013,2.0003,1.9765,1.9548,1.944,1.9292,1.9133,1.9709,1.9671,17.1108,39.636,47.1612,53.2362,0.0,3.4924596548080444e-10,2.8515813671787943e-10,,,
2000-01-13,1.95,1.97,1.95,1.97,268000.0,1.9672,1.978,2.02,2.012,2.0013,1.9785,1.9562,1.945,1.9302,1.9136,1.9704,1.9679,11.5927,36.7277,44.8711,51.9371,-0.005063301956546695,0.002923298747600612,0.0022643774730892368,,,
2000-01-14,1.95,1.97,1.95,1.97,148000.0,1.9669,1.976,2.012,2.0115,2.0013,1.9805,1.9582,1.9465,1.9312,1.9139,1.9698,1.9685,11.5927,36.7277,44.8711,51.9371,0.0,0.0029232987476006116,0.0022643774730892368,,,
2000-01-17,2.0,2.01,1.98,1.99,188000.0,1.9965,1.978,2.005,2.0115,2.002,1.983,1.9606,1.9485,1.9317,1.9147,1.9693,1.9691,63.9331,46.6386,50.4518,54.3227,0.010101095986503883,0.0077204072842362815,0.00553609278042918,0.01348541654538743,,
2000-01-18,2.0,2.0,1.98,1.99,38000.0,1.9942,1.98,1.994,2.0115,2.0023,1.9855,1.9632,1.95,1.9321,1.9155,1.969,1.9696,63.9331,46.6386,50.4518,54.3227,0.0,0.005831870486918278,0.00553609278042918,0.0061806755814917125,,
2000-01-19,2.0,2.01,2.0,2.0,152000.0,2.0043,1.984,1.985,2.0115,2.003,1.988,1.9658,1.952,1.9326,1.917,1.9686,1.9705,78.3517,51.4509,53.1991,55.5045,0.00501254182354427,0.005050595660096604,0.005757449353031252,0.0039818172468763504,,
2000-01-20,2.0,2.0,1.98,1.99,154000.0,1.9922,1.988,1.983,2.0105,2.003,1.99,1.9684,1.9537,1.9329,1.9179,1.9682,1.971,48.9802,46.7117,50.2015,54.0577,-0.00501254182354427,0.005012541823544282,0.005741882599993082,0.0044144004378154685,,
2000-01-21,1.98,2.0,1.98,1.98,128000.0,1.9897,1.99,1.983,2.01,2.0027,1.9923,1.9706,1.9552,1.9334,1.9189,1.9677,1.9716,31.3513,42.3257,47.3295,52.6383,-0.005037794029957188,0.005795288180542712,0.006567633792732444,0.00475277330251119,,
2000-01-24,2.0,2.0,1.98,1.98,72000.0,1.9956,1.988,1.983,2.009,2.0027,1.9938,1.9732,1.9565,1.9339,1.9202,1.9671,1.9721,31.3513,42.3257,47.3295,52.6383,0.0,0.0029013095289019096,0.004199840652220605,0.00475277330251119,,
2000-01-25,1.98,2.0,1.98,1.99,60000.0,1.9877,1.988,1.984,2.0075,2.0033,1.9948,1.9758,1.9582,1.9344,1.9215,1.9667,1.9724,62.0687,48.4515,50.6067,53.9327,0.005037794029957188,0.005037794029957199,0.005025183788731163,0.005012663058085029,,
2000-01-26,1.99,2.01,1.99,1.99,118000.0,1.9947,1.986,1.985,2.006,2.0037,1.9965,1.9782,1.9598,1.9343,1.9233,1.9662,1.9727,62.0687,48.4515,50.6067,53.9327,0.0,0.0029085717393176934,0.0042088952767552115,0.005012663058085029,,
2000-01-27,2.01,2.01,1.99,2.0,132000.0,1.997,1.988,1.988,2.004,2.004,1.998,1.9804,1.9615,1.9344,1.9251,1.9658,1.9731,81.0984,54.5599,53.9312,55.2419,0.00501254182354427,0.0029013095289019152,0.004208895276755212,0.004776393331538856,,
2000-01-28,1.99,2.0,1.99,1.99,162000.0,1.9902,1.99,1.99,2.001,2.0043,1.9985,1.9824,1.9635,1.935,1.9271,1.9655,1.9736,46.275,48.1421,50.2863,53.6643,-0.00501254182354427,0.005012541823544281,0.0041998406522206055,0.005197114216598962,,
2000-01-31,1.97,1.99,1.97,1.98,152000.0,1.9803,1.99,1.989,1.997,2.004,1.9988,1.9842,1.9653,1.9356,1.929,1.9652,1.9737,28.1461,42.5158,46.8746,52.1244,-0.005037794029957188,0.005795288180542711,0.005025183788731163,0.0043982631840700235,0.010019911218159941,
2000-02-01,1.97,1.99,1.97,1.98,152000.0,1.9803,1.99,1.989,1.997,2.004,1.9988,1.9842,1.9653,1.9356,1.929,1.9652,1.9737,28.1461,42.5158,46.8746,52.1244,0.0,0.002901309528901907,0.004199840652220605,0.0043982631840700235,0.0052271580427663555,
2000-02-02,1.98,2.0,1.98,1.99,306000.0,1.9848,1.99,1.989,1.9915,2.004,1.999,1.9862,1.9675,1.936,1.931,1.9649,1.9737,54.7418,49.1954,50.4919,53.5046,0.005037794029957188,0.005037794029957198,0.005025183788731163,0.004401788068477942,0.004157554793015089,
2000-02-03,2.01,2.01,2.0,2.0,258000.0,2.002,1.992,1.989,1.987,2.004,1.9995,1.9882,1.9697,1.9364,1.9331,1.9644,1.9736,70.8989,55.0689,53.8741,54.851,0.00501254182354427,0.0029013095289019126,0.005025183788731163,0.004401788068477943,0.004290528471377496,
2000-02-04,2.01,2.01,2.0,2.0,258000.0,2.002,1.992,1.989,1.987,2.004,1.9995,1.9882,1.9697,1.9364,1.9331,1.9644,1.9736,70.8989,55.0689,53.8741,54.851,0.0,0.0029013095289019126,0.004208895276755212,0.00396391932290282,0.004290528471377496,
2000-02-07,2.01,2.01,2.0,2.0,258000.0,2.002,1.992,1.989,1.987,2.004,1.9995,1.9882,1.9697,1.9364,1.9331,1.9644,1.9736,70.8989,55.0689,53.8741,54.851,0.0,0.0028939923711475603,0.0027524123086584335,0.00396391932290282,0.004290528471377496,
2000-02-08,2.0,2.01,1.99,1.99,190000.0,1.9995,1.99,1.989,1.986,2.0033,1.9995,1.9898,1.9718,1.9368,1.935,1.9629,1.9736,46.1733,48.7309,50.1821,53.2556,-0.00501254182354427,0.0028939923711475573,0.0041998406522206055,0.004099607562623349,0.004464309496599216,
2000-02-09,2.0,2.02,2.0,2.01,200000.0,2.0103,1.994,1.992,1.9875,2.004,2.0,1.9922,1.9742,1.9374,1.9367,1.9615,1.9737,73.6947,59.2766,56.5896,55.909,0.010000083334583243,0.007643146781810856,0.005706410527302802,0.005177542741241207,0.004966386347492131,
2000-02-10,2.02,2.13,2.01,2.09,524000.0,2.0834,2.016,2.003,1.993,2.007,2.0028,1.9956,1.9782,1.9391,1.9386,1.9607,1.974,93.5333,78.8517,72.0664,64.2954,0.039029343905735314,0.022389597964371795,0.01775471548339244,0.013147362203568148,0.009740781017090265,
2000-02-11,2.1,2.12,2.06,2.08,176000.0,2.093,2.034,2.012,1.998,2.009,2.0055,1.9982,1.9818,1.9407,1.94,1.9599,1.9742,81.9457,73.8591,68.7661,62.7519,-0.004796172263492937,0.022294629459919765,0.01846461026040255,0.013130314478122272,0.009875505594358435,
2000-02-14,2.08,2.1,2.08,2.09,248000.0,2.0959,2.052,2.022,2.0035,2.0113,2.0083,2.0016,1.9855,1.9424,1.9416,1.9597,1.9742,84.7749,75.5974,70.2341,63.6545,0.004796172263492937,0.023038370101893465,0.01807571730490286,0.012704338573617299,0.00973700099821904,
2000-02-15,2.1,2.12,2.06,2.07,114000.0,2.0879,2.068,2.029,2.0085,2.0123,2.0103,2.0042,1.9885,1.944,1.9433,1.9589,1.9743,57.665,65.759,63.7778,60.6156,-0.009615458699441914,0.0073363672014599155,0.019046408795002513,0.013498104950786793,0.010095212042079391,
2000-02-16,2.06,2.09,2.05,2.07,78000.0,2.061,2.08,2.037,2.0135,2.013,2.0125,2.0062,1.9915,1.9457,1.9449,1.9582,1.9742,57.665,65.759,63.7778,60.6156,0.0,0.007338885262690278,0.01929195389203248,0.013567362777493638,0.010077926320693556,
