Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2005-11-09,2.769,2.769,2.769,2.769,16.0,2.7687,2.6995,2.6869,2.8584,3.0204,3.1117,3.1752,3.2475,3.3942,3.4276,5.1898,5.2449,65.9529,45.5392,40.2174,38.927,,,,,,
2005-11-10,2.769,2.769,2.769,2.769,16.0,2.7687,2.6995,2.6869,2.8584,3.0204,3.1117,3.1752,3.2475,3.3942,3.4276,5.1898,5.2449,65.9529,45.5392,40.2174,38.927,0.0,,,,,
2005-11-11,2.769,2.769,2.769,2.769,16.0,2.7687,2.6995,2.6869,2.8584,3.0204,3.1117,3.1752,3.2475,3.3942,3.4276,5.1898,5.2449,65.9529,45.5392,40.2174,38.927,0.0,,,,,
2005-11-14,2.7060000000000004,2.7060000000000004,2.454,2.486,2241.0,2.5233,2.6744,2.6586,2.8159,2.9911,3.0897,3.1532,3.2292,3.3719,3.4279,5.1669,5.2438,22.8508,29.1475,29.6242,34.1841,-0.10781125110030554,0.06224485484443174,,,,
2005-11-15,2.58,2.643,2.58,2.643,3051.0,2.6034,2.6806,2.6523,2.7876,2.968,3.0716,3.1331,3.2134,3.3514,3.4255,5.1468,5.2303,50.0525,42.1597,39.2048,38.4912,0.06123964253363268,0.0855879317036903,,,,
2005-11-16,2.643,2.7060000000000004,2.643,2.643,2702.0,2.6671,2.6492,2.6523,2.7577,2.9449,3.0511,3.1142,3.1977,3.3379,3.424,5.1255,5.2167,50.0525,42.1597,39.2048,38.4912,0.0,0.0855879317036903,0.06111418971188844,,,
2005-11-17,2.58,2.611,2.58,2.611,4911.0,2.6024,2.6303,2.6492,2.7310000000000003,2.9166,3.0322,3.0972,3.1814,3.326,3.4219,5.1036,5.2032,43.1985,40.2868,38.0047,37.9595,-0.012181345905160179,0.039347428016406255,0.06089245219583366,,,
2005-11-18,2.611,2.643,2.611,2.643,3973.0,2.6177,2.6051,2.6523,2.709,2.8925,3.0142,3.0834,3.1652,3.3134,3.4226,5.082,5.1898,52.8777,43.129,39.9832,38.8335,0.012181345905160179,0.0121813459051602,0.0617182045929017,,,
2005-11-21,2.611,2.674,2.611,2.674,1430.0,2.6359,2.6429,2.6586,2.6885,2.8726,2.9969,3.0702,3.15,3.302,3.4224,5.0591,5.1771,62.4704,46.0194,41.9773,39.7121,0.01166084305759929,0.01391798386976901,0.02792912142681862,,,
2005-11-22,2.643,2.643,2.643,2.643,1589.0,2.6429,2.6429,2.6618,2.6728,2.8495,2.9788,3.0576,3.1337,3.2910000000000004,3.4221,5.0360000000000005,5.1618,47.857,43.5304,40.5272,39.1307,-0.01166084305759929,0.013617525111696433,0.011923934939337858,,,
2005-11-23,2.611,2.611,2.58,2.58,4768.0,2.6062,2.6303,2.6397,2.6602,2.8243,2.9559,3.0425,3.1159,3.2825,3.4219,5.0136,5.1456,28.1217,38.8079,37.7205,37.9801,-0.024125236688625984,0.01816546932804207,0.016080598045284483,0.04219597562641826,,
2005-11-24,2.611,2.611,2.58,2.58,4768.0,2.6062,2.6303,2.6397,2.6602,2.8243,2.9559,3.0425,3.1159,3.2825,3.4219,5.0136,5.1456,28.1217,38.8079,37.7205,37.9801,0.0,0.01206484849114269,0.015603136299810362,0.04219597562641826,,
2005-11-25,2.611,2.643,2.611,2.643,1605.0,2.6117,2.6366,2.6335,2.6571,2.8023,2.9379,3.028,3.1002,3.2753,3.4226,4.9923,5.1305,55.5915,45.464,42.043,39.8109,0.024125236688625984,0.024125236688625994,0.018947325749247398,0.04331979685666718,,
2005-11-28,2.611,2.611,2.58,2.58,1907.0,2.5957,2.624,2.6146,2.6508,2.7771,2.919,3.0123,3.0818,3.2674,3.4224,4.9703,5.1124,35.3353,40.5071,39.1191,38.6312,-0.024125236688625984,0.024125236688625994,0.020161396875836745,0.025663090528186917,,
2005-11-29,2.58,2.58,2.58,2.58,6357.0,2.58,2.6051,2.624,2.6413,2.752,2.8993,2.9965,3.065,3.2611,3.4216,4.9486,5.0951,35.3353,40.5071,39.1191,38.6312,0.0,0.024125236688625994,0.02018462116804667,0.01583455900192398,,
2005-11-30,2.58,2.643,2.58,2.58,3337.0,2.592,2.5926,2.6177,2.635,2.7310000000000003,2.8804,2.9808,3.0472,3.2552,3.4085,4.9269,5.0775,35.3353,40.5071,39.1191,38.6312,0.0,0.013928711896441664,0.017059118460257924,0.01583455900192398,,
2005-12-01,2.58,2.611,2.517,2.517,7453.0,2.5773,2.58,2.6051,2.6287,2.7069,2.86,2.9619,3.0294,3.2489,3.3896,4.9049,5.0604,15.8471,35.0639,35.9928,37.4042,-0.024721682780347365,0.014273070208054104,0.02032844909331593,0.017137165643230083,,
2005-12-02,2.517,2.611,2.517,2.611,3178.0,2.5674,2.5737,2.6051,2.6272,2.689,2.8387,2.9468,3.0152,3.2445,3.3747,4.8838,5.0451,62.4473,47.067,43.3112,40.3444,0.03666557356381317,0.030886677618133893,0.025039348493548667,0.02097278401199465,,
2005-12-05,2.517,2.611,2.517,2.611,3178.0,2.5674,2.5737,2.6051,2.6272,2.689,2.8387,2.9468,3.0152,3.2445,3.3747,4.8838,5.0451,62.4473,47.067,43.3112,40.3444,0.0,0.030886677618133893,0.021948773193768978,0.020495900087205973,,
2005-12-06,2.58,2.611,2.517,2.58,6182.0,2.5728,2.5737,2.5988,2.6256,2.6723,2.8191,2.9311,3.0026,3.2372,3.3566,4.8624,5.027,48.9062,44.016000000000005,41.6036,39.7014,-0.011943890783465805,0.025330814028044126,0.02290296056901202,0.020510324886698558,,
2005-12-07,2.58,2.58,2.58,2.58,2702.0,2.58,2.5737,2.5894,2.624,2.6555,2.8018,2.9154,2.99,3.2297,3.3382,4.8394,5.0089,48.9062,44.016000000000005,41.6036,39.7014,0.0,0.006895808559005503,0.02290296056901202,0.019038663882470944,0.03206624879995153,
2005-12-08,2.643,2.737,2.643,2.737,3814.0,2.715,2.6051,2.5988,2.6303,2.6481,2.7868,2.9028,2.9811,3.2246,3.3201,4.8161,4.9916,85.1448,60.301,52.4701,44.4399,0.05907303112501594,0.038025611392629964,0.029884498500106705,0.026672701832761787,0.03499579785293806,
2005-12-09,2.769,2.832,2.769,2.832,4926.0,2.8083,2.6681,2.624,2.6319,2.6481,2.7742,2.8896,2.9727,3.2196,3.3023,4.7885,4.9737,90.9327,66.8166,57.5716,47.0239,0.03412074577293134,0.029654861441507276,0.029479637153136024,0.027602357850812026,0.035846960399726374,
2005-12-12,2.769,2.769,2.737,2.769,1430.0,2.7583,2.6995,2.6366,2.635,2.6502,2.7609,2.8776,2.9628,3.2092,3.2855,4.7542,4.9538,65.437,59.4934,53.4526,45.5625,-0.022496931642648432,0.04179680363804682,0.03395671813848333,0.027403037646156078,0.025896631767459412,
2005-12-13,2.769,2.769,2.737,2.769,1430.0,2.7583,2.6995,2.6366,2.635,2.6502,2.7609,2.8776,2.9628,3.2092,3.2855,4.7542,4.9538,65.437,59.4934,53.4526,45.5625,0.0,0.028507012650017836,0.032250393198850216,0.027403037646156078,0.022318860257175867,
2005-12-14,2.769,2.832,2.769,2.832,1589.0,2.8065,2.7499,2.6618,2.6382,2.6544,2.7483,2.8675,2.9539,3.2017,3.2682,4.7147,4.9347,75.6696,63.9397,56.7825,47.2581,0.022496931642648432,0.02249693164264844,0.03134109185464521,0.02768021068304244,0.02275791759000252,
2005-12-15,2.832,2.832,2.8,2.8,1430.0,2.8142,2.7939,2.6838,2.6539,2.6555,2.7349,2.8562,2.9444,3.1926,3.2522,4.6719,4.9156,61.9206,60.2214,54.6763,46.5088,-0.011363758650315248,0.017232688371776748,0.02346277944347087,0.026134059276362562,0.02272907122002045,
2005-12-16,2.7060000000000004,2.769,2.7060000000000004,2.737,6706.0,2.7576,2.7939,2.6995,2.6586,2.6565,2.7231,2.8443,2.9339,3.1825,3.236,4.6291,4.898,40.0756,53.2534,50.6314,45.0316,-0.02275698712261609,0.023538157552334796,0.01888381768743625,0.02631777721689202,0.023360148578527473,
2005-12-19,2.7060000000000004,2.7060000000000004,2.7060000000000004,2.7060000000000004,3973.0,2.7058,2.7687,2.7184,2.6618,2.6586,2.7098,2.8317,2.9213,3.1718,3.2252,4.5875,4.8791,31.6905,49.9992,48.6918,44.3037,-0.011390900309945606,0.006570062418842222,0.017153313095533418,0.026786759987166252,0.023413899667224933,
2005-12-20,2.643,2.643,2.643,2.643,954.0,2.6429,2.7436,2.7215,2.6633,2.6586,2.6972,2.8153,2.9093,3.1605,3.2155,4.5448,4.8596,19.4696,43.9557,44.9804,42.8701,-0.02355689412644435,0.00680489022922759,0.018735156342780238,0.027768016783612848,0.023887930289201012,
2005-12-21,2.517,2.549,2.517,2.549,1589.0,2.5422,2.6869,2.7184,2.6586,2.6565,2.6838,2.7989,2.8956,3.1498,3.2042,4.5013,4.8396,10.4245,36.5089,40.0492,40.8203,-0.03621351022817376,0.012412113034197434,0.010322931251569883,0.030358182489720623,0.02467058339552795,
2005-12-22,2.517,2.549,2.517,2.549,1589.0,2.5422,2.6869,2.7184,2.6586,2.6565,2.6838,2.7989,2.8956,3.1498,3.2042,4.5013,4.8396,10.4245,36.5089,40.0492,40.8203,0.0,0.01837813698881143,0.013691690456771757,0.021891575492706785,0.02467058339552795,
2005-12-23,2.611,2.7060000000000004,2.611,2.7060000000000004,1748.0,2.6343,2.6681,2.7310000000000003,2.6602,2.6597,2.6744,2.7876,2.8846,3.141,3.1951,4.4583,4.8192,58.5575,51.8151,49.9062,45.3273,0.05977040435461811,0.048471351364143066,0.03722448424270644,0.027929887969358885,0.027657824782875626,
2005-12-26,2.611,2.7060000000000004,2.611,2.7060000000000004,1748.0,2.6343,2.6681,2.7310000000000003,2.6602,2.6597,2.6744,2.7876,2.8846,3.141,3.1951,4.4583,4.8192,58.5575,51.8151,49.9062,45.3273,0.0,0.03450845904371155,0.036874268876294705,0.02722082358402851,0.02701480120668109,
2005-12-27,2.7060000000000004,2.7060000000000004,2.7060000000000004,2.7060000000000004,795.0,2.7058,2.6618,2.7278,2.6633,2.6628,2.6681,2.775,2.8736,3.1315,3.1864,4.4122,4.7987,58.5575,51.8151,49.9062,45.3273,0.0,0.03450845904371155,0.034543212457672834,0.02722082358402851,0.02701480120668109,
2005-12-28,2.643,2.643,2.611,2.611,636.0,2.6272,2.6429,2.7058,2.6649,2.6565,2.6626,2.7606,2.8589,3.123,3.1796,4.3641,4.7788,33.9382,43.7972,44.7826,43.2141,-0.03573824003160453,0.020633482502610344,0.03440281257710431,0.027553346853115314,0.028330714645946543,
2005-12-29,2.674,2.7060000000000004,2.549,2.7060000000000004,1716.0,2.6301,2.6555,2.6995,2.6681,2.6565,2.6626,2.7486,2.8479,3.1164,3.1741,4.3179,4.7599,59.4873,52.1305,50.2798,45.8268,0.03573824003160453,0.035738240031604536,0.03678465913422605,0.030775740216601368,0.02871001647225854,
2005-12-30,2.769,2.832,2.769,2.769,19706.0,2.7911,2.6995,2.6932,2.6775,2.6565,2.6641,2.7373,2.8385,3.1076,3.1691,4.2708,4.7410000000000005,70.7858,56.92100000000001,53.5965,47.4928,0.023014714440228512,0.038128477906655744,0.027286376022318218,0.030982448090099007,0.028037445633249662,
2006-01-02,2.769,2.832,2.769,2.769,19706.0,2.7911,2.6995,2.6932,2.6775,2.6565,2.6641,2.7373,2.8385,3.1076,3.1691,4.2708,4.7410000000000005,70.7858,56.92100000000001,53.5965,47.4928,0.0,0.018114391078165103,0.027286376022318218,0.03067753393400274,0.028037445633249662,
2006-01-03,2.643,2.643,2.643,2.643,318.0,2.6429,2.6869,2.6775,2.6806,2.6618,2.661,2.7234,2.8264,3.0969,3.1644,4.2257,4.7218,38.5405,46.4598,46.8633,44.6517,-0.04657160856667286,0.03545148834410547,0.03585404424255693,0.033560815388926454,0.030004930404716357,
2006-01-04,2.674,2.832,2.674,2.832,4291.0,2.728,2.7121,2.6869,2.6932,2.6681,2.6641,2.7159,2.818,3.0897,3.1615,4.1806,4.7036,69.6489,59.1339,55.8276,49.3531,0.0690685402093213,0.058183648877309306,0.04308702836623984,0.03724926378883911,0.03361620201435697,
2006-01-05,2.863,2.895,2.832,2.895,7787.0,2.8747,2.7687,2.7058,2.7121,2.6765,2.6704,2.709,2.8107,3.0831,3.1594,4.1348,4.6856,75.7788,62.4658,58.3499,50.7944,0.022001935193485256,0.05815244365813746,0.041956892976022495,0.03720806922963317,0.03140747489152578,
2006-01-06,2.863,2.863,2.643,2.769,18117.0,2.774,2.7813,2.7184,2.72,2.6817,2.6736,2.7014,2.7992,3.0746,3.157,4.0904,4.6674,47.1877,52.7829,51.9595,47.9701,-0.04449886683613369,0.05706016988134449,0.04848611211752369,0.03717042618787476,0.03219207660691957,
2006-01-09,2.8,2.832,2.8,2.8,15208.0,2.8146,2.7876,2.7436,2.7310000000000003,2.6869,2.6783,2.6957,2.7897,3.0658,3.1529,4.0486,4.6493,53.7338,54.7554,53.3354,48.7077,0.011133172992333185,0.03567307695784946,0.04874107689052963,0.037260453677439104,0.031893911278533076,
2006-01-10,2.8,2.832,2.8,2.8,15208.0,2.8146,2.7876,2.7436,2.7310000000000003,2.6869,2.6783,2.6957,2.7897,3.0658,3.1529,4.0486,4.6493,53.7338,54.7554,53.3354,48.7077,0.0,0.029436430224166428,0.040904390737815696,0.037260453677439104,0.031893911278533076,
2006-01-11,2.832,2.958,2.832,2.926,32896.0,2.9023,2.8443,2.7656,2.7483,2.6953,2.6862,2.6926,2.784,3.0585,3.1494,4.0079,4.6303,73.4665,61.915,58.4605,51.5498,0.0440168854167744,0.0228865764349761,0.032834519591063205,0.03647610368865447,0.03301631994168134,
2006-01-12,2.989,3.241,2.989,3.083,78076.0,3.1098,2.8946,2.8034,2.7656,2.71,2.698,2.6951,2.7798,3.0525,3.1481,3.968,4.6111,85.2567,68.8474,63.8109,54.7892,0.052266846306080916,0.028099143756978376,0.038670629090577474,0.03804282030636494,0.034719888100198715,
2006-01-13,3.115,3.115,2.895,2.895,9170.0,3.0241,2.8946,2.8317,2.7687,2.7205,2.7003,2.6964,2.7724,3.0456,3.1445,3.933,4.5865,47.3693,55.2666,54.7051,50.5902,-0.06291803787905481,0.06425301188751531,0.045705324159402726,0.04466857435494176,0.03745227213650403,
2006-01-16,2.832,2.895,2.769,2.769,2225.0,2.8496,2.8946,2.838,2.7687,2.7247,2.7019,2.6976,2.7635,3.0374,3.1358,3.897,4.5557,32.7953,48.144,49.6213,48.0506,-0.04449886683613369,0.061874101537682816,0.05143770153460305,0.04730010321670274,0.03881954304842496,
2006-01-17,2.926,2.926,2.737,2.737,10091.0,2.8282,2.882,2.8348,2.764,2.7299,2.7011,2.6983,2.7535,3.0289,3.1287,3.8609,4.5197,29.4029,46.46,48.4101,47.4347,-0.011623814130282906,0.025984393849353596,0.051574400207812995,0.044696210845673046,0.038510274608877924,
