Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2006-08-21,0.193,0.193,0.19,0.193,63000.0,0.1907,0.193,0.1935,0.1928,0.1908,0.1879,0.1846,0.1827,0.1759,0.1713,0.1605,0.159,50.0977,51.6784,53.483,55.9572,,,,,,
2006-08-22,0.19,0.193,0.19,0.192,102000.0,0.1925,0.1937,0.1935,0.1928,0.191,0.1884,0.1849,0.1831,0.1761,0.1717,0.1607,0.1594,43.356,48.8572,51.3759,54.8124,-0.0051948168771041026,,,,,
2006-08-23,0.192,0.195,0.192,0.195,219000.0,0.193,0.1939999999999999,0.1937,0.1931,0.1913,0.1888,0.1853,0.1835,0.1764,0.1722,0.161,0.1597,59.647,54.452,55.1792,56.6474,0.015504186535965303,,,,,
2006-08-24,0.195,0.195,0.195,0.195,241500.0,0.195,0.193,0.1935,0.1933,0.1917,0.1893,0.1859,0.1839,0.1766,0.1726,0.1613,0.16,59.647,54.452,55.1792,56.6474,0.0,0.010768895523860315,,,,
2006-08-25,0.1969999999999999,0.198,0.1969999999999999,0.1969999999999999,207000.0,0.1976,0.1943,0.1935,0.1936,0.1921,0.1897,0.1864,0.1844,0.1769,0.1731,0.1615,0.1603,69.5116,57.4011,57.1239,57.5694,0.010204170174241245,0.007880303108821653,,,,
2006-08-28,0.1969999999999999,0.198,0.1969999999999999,0.198,280500.0,0.198,0.1953,0.1942,0.1939,0.1925,0.1902,0.187,0.1849,0.1773,0.1735,0.1618,0.1607,77.6918,60.2932,59.0379,58.4827,0.005063301956547139,0.005102134221410782,0.008159244312283905,,,
2006-08-29,0.1969999999999999,0.198,0.1969999999999999,0.198,126000.0,0.1967,0.1967,0.1952,0.1941,0.1929,0.1907,0.1876,0.1854,0.1776,0.174,0.1621,0.161,77.6918,60.2932,59.0379,58.4827,0.0,0.005102134221410782,0.006722405082435471,,,
2006-08-30,0.1969999999999999,0.198,0.193,0.198,443700.0,0.195,0.1973,0.1957,0.1943,0.1933,0.1911,0.1882,0.1857,0.178,0.1744,0.1624,0.1612,77.6918,60.2932,59.0379,58.4827,0.0,0.002923298747600848,0.0045591384765975435,,,
2006-08-31,0.1969999999999999,0.198,0.193,0.198,443700.0,0.195,0.1973,0.1957,0.1943,0.1933,0.1911,0.1882,0.1857,0.178,0.1744,0.1624,0.1612,77.6918,60.2932,59.0379,58.4827,0.0,0.0,0.0045591384765975435,,,
2006-09-01,0.198,0.198,0.198,0.198,75000.0,0.1983,0.198,0.1955,0.1946,0.1937,0.1915,0.1887,0.186,0.1784,0.1748,0.1627,0.1614,77.6918,60.2932,59.0379,58.4827,0.0,0.0,0.0022643774730894176,,,
2006-09-04,0.2,0.2,0.2,0.2,30000.0,0.2,0.1987,0.1965,0.1949,0.1938,0.1918,0.1892,0.1864,0.1787,0.1752,0.163,0.1617,90.5405,64.1879,61.3581,59.4816,0.010050335853501569,0.005802564110465277,0.0044946468330265745,0.006422250473187522,,
2006-09-05,0.2,0.2,0.198,0.198,157500.0,0.1999,0.1987,0.1969999999999999,0.1953,0.1942,0.1923,0.1897,0.1867,0.1791,0.1756,0.1633,0.1619,48.5747,57.8089,57.8305,58.0371,-0.010050335853501569,0.010050335853501567,0.0071066606352132465,0.007283702657425571,,
2006-09-06,0.2,0.2,0.1969999999999999,0.1969999999999999,165000.0,0.198,0.1983,0.1975,0.1955,0.1944,0.1926,0.1902,0.187,0.1795,0.176,0.1636,0.162,28.6533,51.9957,54.4586,56.6148,-0.005063301956547139,0.010466848921041317,0.007458688271051711,0.006209357946707833,,
2006-09-07,0.198,0.198,0.1969999999999999,0.1969999999999999,187500.0,0.1981,0.198,0.1977,0.1957,0.1946,0.1929,0.1906,0.1874,0.1798,0.1764,0.1639999999999999,0.1622,28.6533,51.9957,54.4586,56.6148,0.0,0.005025216157220264,0.007458688271051711,0.006209357946707833,,
2006-09-08,0.198,0.198,0.1969999999999999,0.1969999999999999,187500.0,0.1981,0.198,0.1977,0.1957,0.1946,0.1929,0.1906,0.1874,0.1798,0.1764,0.1639999999999999,0.1622,28.6533,51.9957,54.4586,56.6148,0.0,0.002923298747600848,0.007458688271051711,0.005305055816469442,,
2006-09-11,0.1969999999999999,0.1969999999999999,0.1969999999999999,0.1969999999999999,1504500.0,0.1967,0.1977,0.1978,0.1957,0.1948,0.1932,0.191,0.1879,0.1802,0.1768,0.1643,0.1625,28.6533,51.9957,54.4586,56.6148,0.0,0.0,0.004498940650327763,0.0050010201800256586,,
2006-09-12,0.2,0.205,0.2,0.205,678000.0,0.2015,0.1987,0.1987,0.1961,0.1953,0.1937,0.1915,0.1884,0.1807,0.1773,0.1647,0.1627,90.9924,72.0238,66.6146,61.797,0.03980625040041996,0.022982149384112114,0.018498379012290424,0.013709225817038952,,
2006-09-13,0.205,0.22,0.205,0.22,2505300.0,0.2097,0.203,0.2008,0.1975,0.1962,0.1946,0.1923,0.1893,0.1812,0.1779,0.1651,0.1631,97.3185,84.8356,77.9985,68.748,0.07061756721395351,0.03540413255996658,0.03214301817989287,0.02514170963962608,,
2006-09-14,0.217,0.237,0.217,0.23,1914000.0,0.2266,0.2097,0.204,0.1996,0.1974,0.1957,0.1934,0.1903,0.1819,0.1786,0.1656,0.1635,98.4248,88.7124,82.3254,72.2324,0.04445176257083383,0.016611077427083138,0.03061881977751202,0.026937419704949353,,
2006-09-15,0.2319999999999999,0.2319999999999999,0.223,0.223,1308900.0,0.2238,0.215,0.2065,0.2011,0.1984,0.1966,0.1942,0.1913,0.1825,0.1792,0.1661,0.1638,69.6783,74.4393,72.1397,67.0749,-0.030907537463076507,0.0527115109406929,0.04009051731573262,0.030398163739187172,,
2006-09-18,0.223,0.2269999999999999,0.223,0.2269999999999999,51000.0,0.2257,0.221,0.2093,0.2024,0.1995,0.1976,0.195,0.1921,0.1831,0.1798,0.1666,0.1642,75.1267,76.5606,73.8798,68.2476,0.017778246021283417,0.038211704359192585,0.038079776111902386,0.030444380832861807,0.021917369268481923,
2006-09-19,0.23,0.24,0.23,0.23,861000.0,0.2365,0.226,0.2123,0.2044,0.2007,0.1985,0.1959,0.1931,0.1838,0.1805,0.1671,0.1647,80.4075,78.5622,75.5261,69.3759,0.01312929144179309,0.026867454265228553,0.037941830678142344,0.029386926267564183,0.02171384144296893,
2006-09-20,0.233,0.233,0.23,0.233,243000.0,0.2321,0.2287,0.2158,0.2064,0.2021,0.1996,0.1969999999999999,0.1941,0.1846,0.181,0.1676,0.1651,85.1399,80.4411,77.0816,70.4617,0.01295914464250525,0.002734516005755852,0.027057422130977893,0.028562111086126808,0.021681331322345856,
2006-09-21,0.233,0.25,0.233,0.245,1653000.0,0.238,0.2317,0.2207,0.2091,0.2039,0.201,0.1982,0.1953,0.1855,0.1816,0.1682,0.1656,93.4482,85.4592,81.51100000000001,73.8224,0.050219756979026364,0.021463476013119376,0.028876326360296873,0.029676488038133927,0.023433375004329286,
2006-09-22,0.247,0.25,0.245,0.248,862800.0,0.247,0.2367,0.2258,0.2118,0.2057,0.2024,0.1995,0.1965,0.1864,0.1823,0.1689,0.1661,94.7147,86.56700000000001,82.5488,74.67399999999999,0.012170535620255274,0.021743651877775133,0.01634335299787476,0.028922861500619238,0.02343216159566491,
2006-09-25,0.25,0.262,0.25,0.262,432000.0,0.2537,0.2437,0.2323,0.2151,0.2079,0.2042,0.201,0.1979,0.1875,0.183,0.1696,0.1666,97.5528,89.9965,85.9467,77.6789,0.054915757596114556,0.023441237416036508,0.021873547638740477,0.029277138209530016,0.025288201467762974,
2006-09-26,0.262,0.263,0.262,0.262,171000.0,0.2618,0.25,0.238,0.2183,0.2101,0.206,0.2026,0.1993,0.1885,0.1838,0.1703,0.1672,97.5528,89.9965,85.9467,77.6789,0.0,0.028841568298217865,0.024799302375801174,0.0302607980463397,0.025288201467762974,
2006-09-27,0.262,0.262,0.257,0.258,160200.0,0.2601,0.255,0.2418,0.2213,0.2123,0.2076,0.204,0.2006,0.1894,0.1846,0.171,0.1678,74.9221,83.27,81.3539,75.289,-0.015384918839479456,0.036956328432702516,0.031004026694104375,0.027831898285985382,0.02596163910618012,
2006-09-28,0.258,0.268,0.258,0.263,942300.0,0.2652,0.2587,0.2452,0.2246,0.2148,0.2093,0.2056,0.2019999999999999,0.1904,0.1854,0.1717,0.1684,83.5227,85.1438,82.8356,76.415,0.019194447256147162,0.017324621654078266,0.026285649116013887,0.026044972599786588,0.025800928313150385,
2006-09-29,0.265,0.267,0.262,0.267,87300.0,0.2639,0.2623,0.2495,0.228,0.2172,0.2112,0.2072,0.2034,0.1913,0.1863,0.1724,0.1689999999999999,87.7305,86.295,83.762,77.1336,0.015094626222485141,0.018892431285516386,0.026262305771931085,0.020903141361080506,0.025583720842365598,
2006-10-02,0.267,0.283,0.267,0.283,1108800.0,0.2775,0.2667,0.2552,0.2323,0.22,0.2134,0.2091,0.2051,0.1925,0.1873,0.1733,0.1697,95.7914,90.4554,87.4184,80.2465,0.05819823924298784,0.023790844798234335,0.02752748397727087,0.024459313139118727,0.027305859780059203,
2006-10-03,0.287,0.305,0.287,0.297,2400000.0,0.2983,0.2737,0.2618,0.2371,0.2236,0.216,0.2111,0.2069,0.1937,0.1885,0.1742,0.1705,97.6467,92.5035,89.4626,82.2466,0.04828524115946209,0.02257508178766991,0.029185004859127353,0.025537464171447026,0.02733986170657329,
2006-10-04,0.305,0.305,0.288,0.288,334800.0,0.2937,0.2797,0.2673,0.2416,0.2267,0.2184,0.2131,0.2088,0.1949,0.1895,0.175,0.1712,69.0921,80.3764,80.6435,77.193,-0.030771658666753687,0.048757740710588936,0.03479091008650633,0.03107903302153897,0.029138949208014995,
2006-10-05,0.298,0.298,0.29,0.292,107100.0,0.2919,0.2853,0.272,0.2463,0.2301,0.2209,0.2152,0.2105,0.1961,0.1906,0.1759,0.1719,73.7056,81.4696,81.432,77.7585,0.013793322132335861,0.039635260820657665,0.0349831232080548,0.029387473993604484,0.028827455011422524,
2006-10-06,0.292,0.295,0.292,0.293,417000.0,0.2932,0.2907,0.2765,0.2512,0.2333,0.2234,0.2172,0.2123,0.1974,0.1917,0.1768,0.1727,76.3529,82.0326,81.8305,78.0402,0.0034188067487854745,0.023319005154586934,0.03584817428161174,0.029694177587498767,0.028714545872986823,
