Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_30D,RSI_14D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-01-03,19.45,20.6,19.45,20.6,201012.0,20.2882,18.9139,18.9331,16.9449,15.8478,15.322,15.0621,14.9408,14.5764,14.6378,14.4582,13.8295,78.3507,70.1439,65.48,69.1481,,,,,,
2000-01-04,20.696,20.888,20.025,20.504,208527.0,20.5123,19.6421,19.0001,17.2874,16.0906,15.4765,15.1992,15.0414,14.6252,14.6841,14.5296,13.8879,75.0023,69.2166,65.0891,68.4827,-0.004671086733765151,,,,,
2000-01-05,20.504,20.504,18.301,19.067,90382.0,19.2179,19.8337,18.9331,17.5581,16.2854,15.5867,15.294,15.1148,14.6616,14.7208,14.5948,13.9406,38.2357,56.5928,59.5707,59.2698,-0.07266089697946265,,,,,
2000-01-06,19.355,19.642,19.067,19.163,22543.0,19.3777,19.7188,18.9331,17.8456,16.477,15.7221,15.3975,15.1883,14.7047,14.7607,14.6587,13.9924,41.122,57.1785,59.8057,59.6595,0.005022244404050635,0.04233053551319704,,,,
2000-01-07,19.355,19.642,19.067,19.163,22543.0,19.3777,19.7188,18.9331,17.8456,16.477,15.7221,15.3975,15.1883,14.7047,14.7607,14.6587,13.9924,41.122,57.1785,59.8057,59.6595,0.0,0.043473170545991195,,,,
2000-01-10,19.355,19.642,19.067,19.163,22543.0,19.3777,19.7188,18.9331,17.8456,16.477,15.7221,15.3975,15.1883,14.7047,14.7607,14.6587,13.9924,41.122,57.1785,59.8057,59.6595,0.0,0.0028995941586146957,0.03271432507402616,,,
2000-01-11,20.121,20.313,19.642,20.217,40077.0,19.9021,19.9104,19.1247,18.1857,16.7118,15.8826,15.5106,15.2857,14.7584,14.8114,14.7228,14.0506,66.7552,63.306,62.2995,63.7656,0.05354249814583145,0.03091277571758082,0.04508848989063048,,,
2000-01-12,20.121,20.121,19.546,19.834,18995.0,19.9432,19.7571,19.3355,18.5067,16.9353,16.0359,15.6217,15.3831,14.8082,14.8577,14.7813,14.1093,53.9449,59.8051,60.8787,61.3213,-0.019126197868256423,0.03766817828747047,0.027142004946784794,,,
2000-01-13,19.259,20.025,18.684,19.067,32354.0,19.3726,19.4696,19.5559,18.7414,17.1078,16.1772,15.7233,15.4534,14.8485,14.8993,14.8348,14.1636,34.2356,53.1872,58.1354,56.6446,-0.039438544681625665,0.04888558945595303,0.03457949092824329,,,
2000-01-14,19.355,19.738,19.067,19.642,45713.0,19.4382,19.5846,19.7092,18.9954,17.2914,16.3329,15.8363,15.538,14.8993,14.9448,14.8862,14.2216,53.3926,57.1847,59.5496,59.1603,0.029711038653275068,0.035541834457244376,0.03724529455097966,,,
2000-01-17,20.121,20.121,19.642,19.93,54689.0,19.9467,19.7379,19.7283,19.2684,17.4815,16.4946,15.9618,15.6346,14.9553,14.9903,14.9397,14.2808,61.7494,59.1471,60.2442,60.3976,0.014556003489120783,0.03634728600225926,0.037331627290822796,0.03511876883204661,,
2000-01-18,19.738,20.217,19.546,19.546,8976.0,19.8872,19.6038,19.7571,19.3403,17.6507,16.6455,16.0739,15.7368,15.0157,15.0294,14.9921,14.3375,45.4507,55.3423,58.8503,57.8796,-0.01945547230805955,0.02517869925432995,0.028135801818983945,0.035491815794079735,,
2000-01-19,19.546,19.738,18.78,18.78,12942.0,19.2542,19.393,19.575,19.2541,17.8216,16.7796,16.1726,15.8143,15.0645,15.0621,15.0379,14.3905,25.3652,48.3451,56.1617,53.1106,-0.03997818813652687,0.027543724049654415,0.03174290482354942,0.02955526584368707,,
2000-01-20,19.738,19.834,19.163,19.546,18577.0,19.5129,19.4888,19.4792,19.2397,18.018,16.9377,16.2771,15.9125,15.1259,15.1053,15.0882,14.4463,55.117,54.7775,58.14,56.9322,0.03997818813652687,0.041526224576638654,0.03371396858867115,0.032349647311521575,,
2000-01-21,19.546,19.93,19.163,19.45,22543.0,19.4931,19.4505,19.5175,19.2253,18.2113,17.0934,16.3729,15.9979,15.1886,15.1444,15.1367,14.5028,51.2839,53.8348,57.8027,56.3143,-0.00492359185218838,0.04007912314728433,0.030788987260874832,0.03242050384138362,,
2000-01-24,19.738,19.738,18.971,19.259,12524.0,19.2045,19.3163,19.5271,19.2301,18.4061,17.2395,16.4831,16.0858,15.2432,15.1811,15.1753,14.5579,42.4312,51.8279,57.1171,55.0281,-0.009868586122380396,0.027463077390397213,0.029419708083588625,0.0326203625418055,,
2000-01-25,19.067,19.067,18.492,18.588,28179.0,18.6769,19.1247,19.3642,19.2445,18.5786,17.3749,16.5789,16.1528,15.2998,15.2099,15.2069,14.6097,22.2589,45.1939,54.7652,50.6662,-0.03546227271934299,0.016391566892062157,0.031900676425636126,0.02841035652154771,,
