Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2014-08-08,2.83,2.9,2.83,2.88,5714800.0,2.8654,2.854,2.8480000000000003,2.7985,2.7663,2.7485,2.7334,2.7285,2.6537,2.6343,2.5997,2.5957,72.579,66.2953,64.4416,61.4163,,,,,,
2014-08-11,2.88,2.99,2.88,2.93,5044800.0,2.9452,2.874,2.858,2.8080000000000003,2.774,2.7548,2.739,2.7315,2.6577,2.6374,2.6018,2.5979,87.3333,73.1677,69.3434,64.1755,0.017212128881121558,,,,,
2014-08-12,2.87,2.95,2.87,2.91,2537700.0,2.9089,2.894,2.862,2.8160000000000003,2.781,2.7605,2.7438,2.7342,2.6615,2.6403,2.6038,2.5992,66.0196,67.0184,65.4564,62.331,-0.006849341845574841,,,,,
2014-08-13,2.87,2.93,2.87,2.92,3970800.0,2.917,2.902,2.869,2.8255,2.7887,2.7668,2.7486,2.737,2.6656,2.6436,2.6059,2.6003,71.277,68.5072,66.4685,62.8828,0.0034305350967891446,0.012073128362318832,,,,
2014-08-14,2.89,2.96,2.89,2.96,1751000.0,2.9459,2.92,2.881,2.838,2.7977,2.774,2.754,2.7405,2.6701,2.647,2.6083,2.6023,85.1046,73.8243,70.2262,65.00399999999999,0.013605652055778572,0.010227541661152549,,,,
2014-08-15,2.91,2.96,2.91,2.95,1351700.0,2.9422,2.934,2.894,2.846,2.806,2.7805,2.7596,2.7443,2.6746,2.6503,2.6105,2.6044,72.0902,70.4777,68.1695,64.0572,-0.0033840979842405527,0.008550086116335403,0.010442251512491913,,,
2014-08-18,2.91,2.95,2.91,2.93,1348700.0,2.9321,2.934,2.904,2.8555,2.814,2.7855,2.7644,2.7483,2.679,2.6536,2.6127,2.6065,49.4186,63.9545,64.1244,62.1834,-0.006802747322752323,0.010930397483742735,0.008682242120197282,,,
2014-08-19,2.91,2.93,2.9,2.93,1854800.0,2.9212,2.938,2.9160000000000004,2.865,2.821,2.7913,2.7698,2.7522,2.6831,2.6568,2.6149,2.6085,49.4186,63.9545,64.1244,62.1834,0.0,0.0034013882852903248,0.007829896750179087,,,
2014-08-20,2.93,2.96,2.92,2.94,2165500.0,2.9411,2.942,2.922,2.8760000000000003,2.8293,2.797,2.7748,2.7568,2.6872,2.6603,2.6173,2.6105,62.6375,65.9489,65.3178,62.7662,0.003407158321614201,0.005198209182539469,0.0078283655089544,,,
2014-08-21,2.92,2.96,2.91,2.96,2850700.0,2.9288,2.942,2.931,2.8855,2.838,2.8035,2.7812,2.7623,2.6918,2.6639,2.6197,2.6126,79.0571,69.7187,67.6365,63.9167,0.0067796869853786745,0.0033898582329297783,0.005368947144282868,,,
2014-08-22,2.94,2.97,2.94,2.96,1965800.0,2.9558,2.944,2.939,2.8935,2.8453,2.8095,2.7866,2.7677,2.6961,2.6677,2.6221,2.6145,79.0571,69.7187,67.6365,63.9167,0.0,0.0033898582329297783,0.005038844876360144,0.008029703179427769,,
2014-08-25,2.95,2.96,2.94,2.94,1376600.0,2.9489,2.946,2.94,2.899,2.852,2.8155,2.7918,2.7725,2.7002,2.6711,2.6243,2.6164,39.7511,61.1504,62.7695,61.8708,-0.0067796869853786745,0.006779686985378672,0.005030290585598952,0.006699100098935574,,
2014-08-26,2.95,2.96,2.93,2.94,2401900.0,2.9445,2.948,2.943,2.9025,2.8583,2.8215,2.797,2.777,2.7043,2.6745,2.6266,2.6183,39.7511,61.1504,62.7695,61.8708,0.0,0.003914254106029774,0.005030290585598952,0.006214939784435071,,
2014-08-27,2.93,2.94,2.84,2.86,707100.0,2.8773,2.932,2.937,2.903,2.8627,2.8258,2.8008,2.78,2.7075,2.6771,2.6284,2.6198,7.2609,37.6966,47.0599,54.4151,-0.02758795651882906,0.014376158396695288,0.013236357005868987,0.010874892659645865,,
2014-08-28,2.85,2.94,2.85,2.9,1721900.0,2.9073,2.92,2.931,2.906,2.869,2.8310000000000004,2.8054,2.7835,2.7112,2.6801,2.6304,2.6216,42.5054,48.7528,53.347,57.0897,0.013889112160667016,0.02111220029485331,0.01513351320677413,0.010920583451393667,,
2014-08-29,2.84,2.9,2.84,2.89,2462100.0,2.895,2.906,2.925,2.9095,2.8723,2.8358,2.8094,2.7872,2.7149,2.6829,2.6324,2.6232,37.2034,46.4352,51.6942,56.2364,-0.0034542348680874913,0.020830968264897155,0.014977843769481013,0.010921559481815783,,
2014-09-01,2.84,2.9,2.84,2.89,2462100.0,2.895,2.906,2.925,2.9095,2.8723,2.8358,2.8094,2.7872,2.7149,2.6829,2.6324,2.6232,37.2034,46.4352,51.6942,56.2364,0.0,0.009179967876625967,0.015058958252746966,0.010804199414716404,,
2014-09-02,2.85,2.94,2.85,2.93,915400.0,2.9232,2.904,2.925,2.9145,2.8787,2.8418,2.8134,2.7912,2.7189,2.6863,2.6345,2.6251,64.0839,55.8745,57.3821,58.7855,0.013745920904635334,0.009098785987210352,0.016974709982582062,0.011824747592348497,,
2014-09-03,2.9,2.94,2.9,2.94,2087900.0,2.9207,2.904,2.926,2.9210000000000003,2.8853,2.8473,2.8182,2.7958,2.7232,2.6897,2.6367,2.6271,69.0518,57.9582,58.6917,59.3972,0.003407158321614201,0.00715831778531234,0.0079558025287141,0.011824747592348497,,
2014-09-04,2.91,2.93,2.89,2.89,2255200.0,2.9106,2.91,2.9210000000000003,2.9215,2.891,2.8523,2.8218,2.7992,2.727,2.6927,2.6387,2.6288,33.8923,45.7942,50.3594,55.1628,-0.017153079226249535,0.01572875068603716,0.011228675201311126,0.012690364420268715,,
