Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,EQY_WEIGHTED_AVG_PX,MOV_AVG_5D,MOV_AVG_10D,MOV_AVG_20D,MOV_AVG_30D,MOV_AVG_40D,MOV_AVG_50D,MOV_AVG_60D,MOV_AVG_100D,MOV_AVG_120D,MOV_AVG_180D,MOV_AVG_200D,RSI_3D,RSI_9D,RSI_14D,RSI_30D,LOG_RETURNS,REALIZED_VOL_3D,REALIZED_VOL_5D,REALIZED_VOL_10D,REALIZED_VOL_20D,REALIZED_VOL_50D
2000-10-12,1.95,1.95,1.95,1.95,2000.0,1.95,1.912,1.955,2.061,2.1283,2.148,2.1526,2.166,2.1778,2.1924,2.2346,2.2705,54.3129,43.2483,41.159,40.7772,,,,,,
2000-10-13,1.94,1.95,1.9,1.95,8000.0,1.9425,1.938,1.946,2.049,2.1180000000000003,2.1418,2.1476,2.1618,2.1747,2.1898,2.2328,2.2643,54.3129,43.2483,41.159,40.7772,0.0,,,,,
2000-10-16,1.95,2.0,1.95,1.96,39000.0,1.9685,1.932,1.937,2.0395,2.108,2.1358,2.1428,2.1578,2.1717,2.1872,2.231,2.2591,58.2121,44.4901,42.1092,41.3761,0.005115100666770345,,,,,
2000-10-17,1.93,2.0,1.93,1.93,8000.0,1.965,1.95,1.927,2.0285,2.097,2.129,2.1394,2.1525,2.1678,2.1841,2.229,2.2535,42.0593,41.4306,40.0211,40.1171,-0.015424470325631656,0.010692306550423749,,,,
2000-10-18,1.93,1.93,1.93,1.93,1000.0,1.93,1.944,1.919,2.016,2.086,2.1223,2.1358,2.1475,2.1641,2.181,2.2269,2.248,42.0593,41.4306,40.0211,40.1171,0.0,0.010692306550423749,,,,
2000-10-19,1.93,1.93,1.93,1.93,1000.0,1.93,1.944,1.919,2.016,2.086,2.1223,2.1358,2.1475,2.1641,2.181,2.2269,2.248,42.0593,41.4306,40.0211,40.1171,0.0,0.008905322094610832,0.007791372136935764,,,
2000-10-20,1.93,1.93,1.93,1.93,1000.0,1.93,1.944,1.919,2.016,2.086,2.1223,2.1358,2.1475,2.1641,2.181,2.2269,2.248,42.0593,41.4306,40.0211,40.1171,0.0,1.1641532182693481e-10,0.007791372136935764,,,
2000-10-23,1.9,1.9,1.9,1.9,1000.0,1.9,1.934,1.923,2.001,2.0737,2.1148,2.1318,2.1418,2.16,2.1779,2.2248,2.2430000000000003,25.8932,38.1135,37.8447,38.852,-0.01566611674439944,0.00904483671953512,0.00851493655002207,,,
2000-10-24,1.9,1.9,1.9,1.9,1000.0,1.9,1.924,1.931,1.9865,2.0613,2.107,2.1258,2.1362,2.1565,2.1749,2.2228,2.2393,25.8932,38.1135,37.8447,38.852,0.0,0.00904483671953512,0.007006100396784969,,,
2000-10-25,1.89,1.9,1.89,1.9,4000.0,1.8925,1.912,1.922,1.9725,2.0493,2.0993,2.1198,2.1305,2.1535,2.1719,2.221,2.2354,25.8932,38.1135,37.8447,38.852,0.0,0.00904483671953512,0.007006100396784969,,,
2000-10-26,1.89,1.9,1.89,1.9,4000.0,1.8925,1.912,1.922,1.9725,2.0493,2.0993,2.1198,2.1305,2.1535,2.1719,2.221,2.2354,25.8932,38.1135,37.8447,38.852,0.0,1.1641532182693481e-10,0.007006100396784969,0.007008194918316381,,
2000-10-27,1.9,1.91,1.9,1.9,11000.0,1.9027,1.906,1.928,1.9585,2.037,2.0918,2.1138,2.1248,2.1513,2.1693,2.2199,2.2317,25.8932,38.1135,37.8447,38.852,0.0,1.1641532182693481e-10,0.007006100396784969,0.007008194918316381,,
