,Dates,AMM,CIMB,DIGI,GAM,GENM,GENT,HLBK,IOI,KLK,MAY,MISC,NESZ,PBK,PEP,PETD,PTG,RHBBANK,ROTH,T,TNB
0,2000-01-03,2.829,2.373,0.535,2.263,2.28,2.82,2.761,0.399,3.5,6.658,3.282,17.0,0.618,1.488,2.17,8.7,3.147,28.75,4.141,6.24
1,2000-01-04,2.757,2.36,0.545,2.313,2.24,2.74,2.715,0.387,3.533,6.706,3.257,17.0,0.614,1.456,2.14,8.65,3.087,29.0,4.197,6.24
2,2000-01-05,2.699,2.348,0.56,2.288,2.2,2.72,2.784,0.381,3.5,6.658,3.233,16.9,0.611,1.4,2.13,8.4,2.983,28.25,4.057,6.208
3,2000-01-06,2.757,2.323,0.555,2.325,2.16,2.68,2.97,0.379,3.467,6.61,3.233,16.8,0.622,1.381,2.22,8.3,3.043,28.5,4.113,6.304
4,2000-01-07,2.757,2.323,0.555,2.325,2.16,2.68,2.97,0.379,3.467,6.61,3.233,16.8,0.622,1.381,2.22,8.3,3.043,28.5,4.113,6.304
5,2000-01-10,2.757,2.323,0.555,2.325,2.16,2.68,2.97,0.379,3.467,6.61,3.233,16.8,0.622,1.381,2.22,8.3,3.043,28.5,4.113,6.304
6,2000-01-11,2.973,2.434,0.6,2.463,2.36,2.74,3.155,0.382,3.433,6.801,3.257,16.9,0.68,1.45,2.24,8.45,3.266,27.75,4.253,6.656
7,2000-01-12,3.262,2.694,0.585,2.463,2.56,2.86,3.202,0.396,3.333,7.089,3.137,16.9,0.68,1.463,2.24,8.45,3.592,29.0,4.281,7.04
8,2000-01-13,3.637,2.694,0.57,2.388,2.7,2.94,3.179,0.396,3.467,7.568,3.209,16.9,0.731,1.463,2.31,8.35,3.518,28.25,4.393,7.424
9,2000-01-14,3.695,2.768,0.575,2.45,2.8,3.3,3.109,0.402,3.567,8.095,3.306,17.3,0.75,1.463,2.31,8.35,3.666,28.25,4.645,7.744
10,2000-01-17,3.637,2.892,0.71,2.475,2.96,3.48,3.109,0.409,3.567,8.095,3.354,17.4,0.764,1.494,2.32,8.45,3.933,29.0,4.953,7.744
11,2000-01-18,3.666,3.065,0.765,2.488,2.92,3.42,3.109,0.407,3.567,8.095,3.378,18.0,0.739,1.469,2.32,8.4,3.896,29.0,4.701,7.616
12,2000-01-19,3.55,3.065,0.715,2.4,2.86,3.48,2.993,0.409,3.533,7.999,3.354,18.0,0.735,1.456,2.32,8.3,3.933,28.5,4.421,7.488
13,2000-01-20,3.55,3.015,0.7,2.45,2.84,3.44,2.993,0.416,3.533,8.047,3.306,18.4,0.739,1.494,2.33,8.35,4.082,29.0,4.449,7.744
14,2000-01-21,3.637,3.065,0.67,2.475,2.72,3.46,3.039,0.426,3.6,8.095,3.33,18.5,0.739,1.519,2.33,8.5,3.971,29.75,4.477,7.744
15,2000-01-24,3.752,3.04,0.66,2.425,2.72,3.48,2.923,0.431,3.6,8.19,3.354,18.4,0.735,1.55,2.3,8.55,3.933,29.5,4.617,7.552
